0,1,2,3
"Inflection of gotlantilainen (Kotus type 38/nainen, no gradation)",,,
nominative,gotlantilainen,gotlantilaiset,
genitive,gotlantilaisen,gotlantilaistengotlantilaisien,
partitive,gotlantilaista,gotlantilaisia,
illative,gotlantilaiseen,gotlantilaisiin,
,singular,plural,
nominative,gotlantilainen,gotlantilaiset,
accusative,nom.,gotlantilainen,gotlantilaiset
gen.,gotlantilaisen,,
genitive,gotlantilaisen,gotlantilaistengotlantilaisien,
partitive,gotlantilaista,gotlantilaisia,
inessive,gotlantilaisessa,gotlantilaisissa,
elative,gotlantilaisesta,gotlantilaisista,
illative,gotlantilaiseen,gotlantilaisiin,
adessive,gotlantilaisella,gotlantilaisilla,
ablative,gotlantilaiselta,gotlantilaisilta,
allative,gotlantilaiselle,gotlantilaisille,
essive,gotlantilaisena,gotlantilaisina,
translative,gotlantilaiseksi,gotlantilaisiksi,
instructive,—,gotlantilaisin,
abessive,gotlantilaisetta,gotlantilaisitta,
comitative,—,gotlantilaisineen,
"Inflection of gotlantilainen (Kotus type 38/nainen, no gradation)",,,
nominative,gotlantilainen,gotlantilaiset,
genitive,gotlantilaisen,gotlantilaistengotlantilaisien,
partitive,gotlantilaista,gotlantilaisia,
illative,gotlantilaiseen,gotlantilaisiin,
,singular,plural,
nominative,gotlantilainen,gotlantilaiset,
accusative,nom.,gotlantilainen,gotlantilaiset
gen.,gotlantilaisen,,
genitive,gotlantilaisen,gotlantilaistengotlantilaisien,
partitive,gotlantilaista,gotlantilaisia,
inessive,gotlantilaisessa,gotlantilaisissa,
elative,gotlantilaisesta,gotlantilaisista,
illative,gotlantilaiseen,gotlantilaisiin,
adessive,gotlantilaisella,gotlantilaisilla,
ablative,gotlantilaiselta,gotlantilaisilta,
allative,gotlantilaiselle,gotlantilaisille,
essive,gotlantilaisena,gotlantilaisina,
translative,gotlantilaiseksi,gotlantilaisiksi,
instructive,—,gotlantilaisin,
abessive,gotlantilaisetta,gotlantilaisitta,
comitative,—,gotlantilaisine,
