0,1,2,3,4,5
"Inflection of pykiä (Kotus type 61/sallia, k- gradation)",,,,,
indicative mood,,,,,
present tense,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,pyin,en pyi,1st sing.,olen pykinyt,en ole pykinyt
2nd sing.,pyit,et pyi,2nd sing.,olet pykinyt,et ole pykinyt
3rd sing.,pykii,ei pyi,3rd sing.,on pykinyt,ei ole pykinyt
1st plur.,pyimme,emme pyi,1st plur.,olemme pykineet,emme ole pykineet
2nd plur.,pyitte,ette pyi,2nd plur.,olette pykineet,ette ole pykineet
3rd plur.,pykivät,eivät pyi,3rd plur.,ovat pykineet,eivät ole pykineet
passive,pyitään,ei pyitä,passive,on pyitty,ei ole pyitty
past tense,pluperfect,,,,
person,positive,negative,person,positive,negative
1st sing.,pyin,en pykinyt,1st sing.,olin pykinyt,en ollut pykinyt
2nd sing.,pyit,et pykinyt,2nd sing.,olit pykinyt,et ollut pykinyt
3rd sing.,pyki,ei pykinyt,3rd sing.,oli pykinyt,ei ollut pykinyt
1st plur.,pyimme,emme pykineet,1st plur.,olimme pykineet,emme olleet pykineet
2nd plur.,pyitte,ette pykineet,2nd plur.,olitte pykineet,ette olleet pykineet
3rd plur.,pykivät,eivät pykineet,3rd plur.,olivat pykineet,eivät olleet pykineet
passive,pyittiin,ei pyitty,passive,oli pyitty,ei ollut pyitty
conditional mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,pykisin,en pykisi,1st sing.,olisin pykinyt,en olisi pykinyt
2nd sing.,pykisit,et pykisi,2nd sing.,olisit pykinyt,et olisi pykinyt
3rd sing.,pykisi,ei pykisi,3rd sing.,olisi pykinyt,ei olisi pykinyt
1st plur.,pykisimme,emme pykisi,1st plur.,olisimme pykineet,emme olisi pykineet
2nd plur.,pykisitte,ette pykisi,2nd plur.,olisitte pykineet,ette olisi pykineet
3rd plur.,pykisivät,eivät pykisi,3rd plur.,olisivat pykineet,eivät olisi pykineet
passive,pyittäisiin,ei pyittäisi,passive,olisi pyitty,ei olisi pyitty
imperative mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,—,—,1st sing.,—,—
2nd sing.,pyi,älä pyi,2nd sing.,ole pykinyt,älä ole pykinyt
3rd sing.,pykiköön,älköön pykikö,3rd sing.,olkoon pykinyt,älköön olko pykinyt
1st plur.,pykikäämme,älkäämme pykikö,1st plur.,olkaamme pykineet,älkäämme olko pykineet
2nd plur.,pykikää,älkää pykikö,2nd plur.,olkaa pykineet,älkää olko pykineet
3rd plur.,pykikööt,älkööt pykikö,3rd plur.,olkoot pykineet,älkööt olko pykineet
passive,pyittäköön,älköön pyittäkö,passive,olkoon pyitty,älköön olko pyitty
potential mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,pykinen,en pykine,1st sing.,lienen pykinyt,en liene pykinyt
2nd sing.,pykinet,et pykine,2nd sing.,lienet pykinyt,et liene pykinyt
3rd sing.,pykinee,ei pykine,3rd sing.,lienee pykinyt,ei liene pykinyt
1st plur.,pykinemme,emme pykine,1st plur.,lienemme pykineet,emme liene pykineet
