0,1,2,3,4,5,6,7,8
"Inflection of teatteri (Kotus type 6/paperi, no gradation)",,,,,,,,
nominative,teatteri,teatterit,,,,,,
genitive,teatterin,teatterienteattereidenteattereitten,,,,,,
partitive,teatteria,teattereitateattereja,,,,,,
illative,teatteriin,teattereihin,,,,,,
,singular,plural,,,,,,
nominative,teatteri,teatterit,,,,,,
accusative,nom.,teatteri,teatterit,,,,,
gen.,teatterin,,,,,,,
genitive,teatterin,teatterienteattereidenteattereitten,,,,,,
partitive,teatteria,teattereitateattereja,,,,,,
inessive,teatterissa,teattereissa,,,,,,
elative,teatterista,teattereista,,,,,,
illative,teatteriin,teattereihin,,,,,,
adessive,teatterilla,teattereilla,,,,,,
ablative,teatterilta,teattereilta,,,,,,
allative,teatterille,teattereille,,,,,,
essive,teatterina,teattereina,,,,,,
translative,teatteriksi,teattereiksi,,,,,,
instructive,—,teatterein,,,,,,
abessive,teatteritta,teattereitta,,,,,,
comitative,—,teattereineen,,,,,,
,,amfiteatteri  elokuvateatteri  harrastajateatteri  kansallisteatteri  kaupunginteatteri  kesäteatteri  nukketeatteri  perunateatteri  teatteriala  teatteriarvostelija  teatteriarvostelu  teatteriesitys  teatteriharrastus  teatterikappale,,teatterikasvatus  teatterikausi  teatterikiertue  teatterikiikari  teatterikorkeakoulu  teatterikriitikko  teatterikritiikki  teatterikuiskaus  teatterikärpänen  teatterikäynti  teatterilainen  teatterilaitos  teatterilava,,teatterilippu  teatterimusiikki  teatterineuvos  teatterinharrastaja  teatterinjohtaja  teatterinukke  teatteriohjaaja  teatteriohjaus  teatteriohjelma  teatteriohjelmisto  teatteriorkesteri  teatteripolitiikka  teatteripuku,,teatterirakennus  teatteriryhmä  teatteriseurue  teatteritaide  teatteritalo  teatteritapahtuma  teatteritekniikka  teatteritiede  teatteriura  teatterivierailu  teatteriväki  teatteriyleisö  ulkoilmateatteri
