0,1,2,3,4,5,6
PIE root,,,,,,
*h₁eḱ-,,,,,,
Number,Singular,,Plural,,,
Case / Gender,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter
nominative,equester,equestris,equestre,,equestrēs,equestria
genitive,equestris,equestrium,,,,
dative,equestrī,equestribus,,,,
accusative,equestrem,equestre,equestrēs,equestria,,
ablative,equestrī,equestribus,,,,
vocative,equester,equestris,equestre,equestrēs,equestria,
equa  equārius  eques  equiferus  equīle  equimulga  equīnus,,equiō  equīria  equis virisque  equīso  equitārius  equitātiō  equitātus,,equitium  equitō  equula  equuleus  equulus  equus,,
Case,Singular,Plural,,,,
nominative,equester,equestrēs,,,,
genitive,equestris,equestrum,,,,
dative,equestrī,equestribus,,,,
accusative,equestrem,equestrēs,,,,
ablative,equestre,equestribus,,,,
vocative,equester,equestrēs,,,,
