0,1,2,3,4,5,6,7
<  4th,5th,6th  >,,,,,
Cardinal : quinque     Ordinal : quintus     Adverbial : quinquiēs     Multiplier : quinquiplex     Distributive : quīnī,,,,,,,
,,,,,,,
Number,Singular,,Plural,,,,
Case / Gender,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,
nominative,quintus,quinta,quintum,,quintī,quintae,quinta
genitive,quintī,quintae,quintī,quintōrum,quintārum,quintōrum,
dative,quintō,quintō,quintīs,,,,
accusative,quintum,quintam,quintum,quintōs,quintās,quinta,
ablative,quintō,quintā,quintō,quintīs,,,
vocative,quinte,quinta,quintum,quintī,quintae,quinta,
"Asturian: quintu  Catalan: quint  Dalmatian: cincto  Dutch: kwint  English: quint, quintain, quintate, quintile  French: quint",,Friulian: cuint  Italian: quinto  Ladin: cuinto  Portuguese: quinto  Sardinian: quíntu  Spanish: quinto,,,,,
