0,1,2
DURATIVE,singular,plural
1st person: నేను / మేము,వ్రాస్తున్నాను,వ్రాస్తున్నాము
2nd person: నీవు / మీరు,వ్రాస్తున్నావు,వ్రాస్తున్నారు
3rd person m: అతను / వారు,వ్రాస్తున్నాడు,వ్రాస్తున్నారు
3rd person f: ఆమె / వారు,వ్రాస్తున్నది,వ్రాస్తున్నారు
PAST TENSE,singular,plural
1st person: నేను / మేము,వ్రాశాను,వ్రాశాము
2nd person: నీవు / మీరు,వ్రాశావు,వ్రాశారు
3rd person m: అతను / వారు,వ్రాశాడు,వ్రాశారు
3rd person f: ఆమె / వారు,వ్రాసింది,వ్రాశారు
FUTURE TENSE,singular,plural
1st person: నేను / మేము,వ్రాస్తాను,వ్రాస్తాము
2nd person: నీవు / మీరు,వ్రాస్తావు,వ్రాస్తారు
3rd person m: అతను / వారు,వ్రాస్తాడు,వ్రాస్తారు
3rd person f: ఆమె / వారు,వ్రాస్తుంది,వ్రాస్తారు
