0,1,2,3,4,5,6
infinitive (nafnháttur),að lama,,,,,
supine (sagnbót),lamað,,,,,
present participle (lýsingarháttur nútíðar),lamandi,,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég lama,við lömum,present (nútíð),ég lami,við lömum,
þú lamar,þið lamið,þú lamir,þið lamið,,,
"hann, hún, það lamar","þeir, þær, þau lama","hann, hún, það lami","þeir, þær, þau lami",,,
,,,,,,
past (þátíð),ég lamaði,við lömuðum,past (þátíð),ég lamaði,við lömuðum,
þú lamaðir,þið lömuðuð,þú lamaðir,þið lömuðuð,,,
"hann, hún, það lamaði","þeir, þær, þau lömuðu","hann, hún, það lamaði","þeir, þær, þau lömuðu",,,
,,,,,,
imperative (boðháttur),lama (þú),lamið (þið),,,,
Forms with appended personal pronoun,,,,,,
lamaðu,lamiði *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
infinitive (nafnháttur),að lamast,,,,,
supine (sagnbót),lamast,,,,,
present participle (lýsingarháttur nútíðar),"lamandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég lamast,við lömumst,present (nútíð),ég lamist,við lömumst,
þú lamast,þið lamist,þú lamist,þið lamist,,,
"hann, hún, það lamast","þeir, þær, þau lamast","hann, hún, það lamist","þeir, þær, þau lamist",,,
,,,,,,
past (þátíð),ég lamaðist,við lömuðumst,past (þátíð),ég lamaðist,við lömuðumst,
þú lamaðist,þið lömuðust,þú lamaðist,þið lömuðust,,,
"hann, hún, það lamaðist","þeir, þær, þau lömuðust","hann, hún, það lamaðist","þeir, þær, þau lömuðust",,,
,,,,,,
imperative (boðháttur),lamast (þú),lamist (þið),,,,
Forms with appended personal pronoun,,,,,,
lamastu,lamisti *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
strong declension (sterk beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),lamaður,lömuð,lamað,lamaðir,lamaðar,lömuð
accusative (þolfall),lamaðan,lamaða,lamað,lamaða,lamaðar,lömuð
dative (þágufall),lömuðum,lamaðri,lömuðu,lömuðum,lömuðum,lömuðum
genitive (eignarfall),lamaðs,lamaðrar,lamaðs,lamaðra,lamaðra,lamaðra
,,,,,,
weak declension (veik beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),lamaði,lamaða,lamaða,lömuðu,lömuðu,lömuðu
accusative (þolfall),lamaða,lömuðu,lamaða,lömuðu,lömuðu,lömuðu
dative (þágufall),lamaða,lömuðu,lamaða,lömuðu,lömuðu,lömuðu
genitive (eignarfall),lamaða,lömuðu,lamaða,lömuðu,lömuðu,lömuðu
