0,1,2
Case,Singular,Plural
nominative,spōnsus,spōnsī
genitive,spōnsī,spōnsōrum
dative,spōnsō,spōnsīs
accusative,spōnsum,spōnsōs
ablative,spōnsō,spōnsīs
vocative,spōnse,spōnsī
Asturian: esposu  Catalan: espòs  English: spouse  French: époux  Friulian: spôs  Galician: esposo  Ido: spozo  Italian: sposo,,"Occitan: espós  Old French: espos  Portuguese: esposo  Sardinian: isposu, sposu  Sicilian: spusu  Spanish: esposo  Venetian: spóxo"
Case,Singular,Plural
nominative,spōnsus,spōnsūs
genitive,spōnsūs,spōnsuum
dative,spōnsuī,spōnsibus
accusative,spōnsum,spōnsūs
ablative,spōnsū,spōnsibus
vocative,spōnsus,spōnsūs
spondeō  spōnsa  sponsālia  spōnsiō,,spōnsō  spōnsor  spōnsum
