0,1,2,3,4,5
Number,Singular,,Plural,,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter,
nominative,cardinālis,cardināle,,cardinālēs,cardinālia
genitive,cardinālis,cardinālium,,,
dative,cardinālī,cardinālibus,,,
accusative,cardinālem,cardināle,cardinālēs,cardinālia,
ablative,cardinālī,cardinālibus,,,
vocative,cardinālis,cardināle,cardinālēs,cardinālia,
English: cardinal  French: cardinal  Italian: cardinale,,"Norman: cardinna  Portuguese: cardinal, cardeal  Spanish: cardinal",,,
Case,Singular,Plural,,,
nominative,cardinālis,cardinālēs,,,
genitive,cardinālis,cardinālium,,,
dative,cardinālī,cardinālibus,,,
accusative,cardinālem,cardinālēs,,,
ablative,cardināle,cardinālibus,,,
vocative,cardinālis,cardinālēs,,,
English: cardinal  French: cardinal  Italian: cardinale,,"Norman: cardinna  Portuguese: cardeal, cardenal  Spanish: cardenal, cardinal",,,
