0,1,2,3,4
apartıman  halkevi  konukevi,,köy evi  müstakil ev,,
evci  evcik  evcilik  evle,,evli  evlik  evlilik  evse,,evsi  evsiz  halkevi  konukevi
,singular (tekil),plural (çoğul),,
nominative (yalın),ev,evler,,
definite accusative (belirtme),evi,evleri,,
dative (yönelme),eve,evlere,,
locative (bulunma),evde,evlerde,,
ablative (çıkma),evden,evlerden,,
genitive (tamlayan),evin,evlerin,,
benim (my),singular (tekil),plural (çoğul),,
nominative (yalın),evim,evlerim,,
definite accusative (belirtme),evimi,evlerimi,,
dative (yönelme),evime,evlerime,,
locative (bulunma),evimde,evlerimde,,
ablative (çıkma),evimden,evlerimden,,
genitive (tamlayan),evimin,evlerimin,,
senin (your),singular (tekil),plural (çoğul),,
nominative (yalın),evin,evlerin,,
definite accusative (belirtme),evini,evlerini,,
dative (yönelme),evine,evlerine,,
locative (bulunma),evinde,evlerinde,,
ablative (çıkma),evinden,evlerinden,,
genitive (tamlayan),evinin,evlerinin,,
onun (her/his/its),singular (tekil),plural (çoğul),,
nominative (yalın),evi,evleri,,
definite accusative (belirtme),evini,evlerini,,
dative (yönelme),evine,evlerine,,
locative (bulunma),evinde,evlerinde,,
ablative (çıkma),evinden,evlerinden,,
genitive (tamlayan),evinin,evlerinin,,
bizim (our),singular (tekil),plural (çoğul),,
nominative (yalın),evimiz,evlerimiz,,
definite accusative (belirtme),evimizi,evlerimizi,,
dative (yönelme),evimize,evlerimize,,
locative (bulunma),evimizde,evlerimizde,,
ablative (çıkma),evimizden,evlerimizden,,
genitive (tamlayan),evimizin,evlerimizin,,
sizin (your),singular (tekil),plural (çoğul),,
nominative (yalın),eviniz,evleriniz,,
definite accusative (belirtme),evinizi,evlerinizi,,
dative (yönelme),evinize,evlerinize,,
locative (bulunma),evinizde,evlerinizde,,
ablative (çıkma),evinizden,evlerinizden,,
genitive (tamlayan),evinizin,evlerinizin,,
onların (their),singular (tekil),plural (çoğul),,
nominative (yalın),evleri,evleri,,
definite accusative (belirtme),evlerini,evlerini,,
dative (yönelme),evlerine,evlerine,,
locative (bulunma),evlerinde,evlerinde,,
ablative (çıkma),evlerinden,evlerinden,,
genitive (tamlayan),evlerinin,evlerinin,,
