0,1,2,3,4,5,6,7
infinitive,regular,,,,,,
gerund,regulando,,,,,,
past participle,,masculine,feminine,,,,
singular,regulado,regulada,,,,,
plural,regulados,reguladas,,,,,
,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,regulo,regulastúregulásvos,regula,regulamos,reguláis,regulan,
imperfect,regulaba,regulabas,regulaba,regulábamos,regulabais,regulaban,
preterite,regulé,regulaste,reguló,regulamos,regulasteis,regularon,
future,regularé,regularás,regulará,regularemos,regularéis,regularán,
conditional,regularía,regularías,regularía,regularíamos,regularíais,regularían,
,,,,,,,
subjunctive,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,regule,regulestúregulésvos1,regule,regulemos,reguléis,regulen,
imperfect(ra),regulara,regularas,regulara,reguláramos,regularais,regularan,
imperfect(se),regulase,regulases,regulase,regulásemos,regulaseis,regulasen,
future,regulare,regulares,regulare,reguláremos,regulareis,regularen,
,,,,,,,
imperative,,—,túvos,usted,nosotrosnosotras,vosotrosvosotras,ustedes
affirmative,,regulatúregulávos,regule,regulemos,regulad,regulen,
negative,,no regules,no regule,no regulemos,no reguléis,no regulen,
regla  regulador  regularidad,,regularización  regularizar  regulativo,,,,,
