0,1,2,3,4,5,6,7,8,9
number,singular,dual,plural,,,,,,
,first,second,third,second,third,first,second,third,
active,indicative,ὀρέγω,ὀρέγεις,ὀρέγει,ὀρέγετον,ὀρέγετον,ὀρέγομεν,ὀρέγετε,ὀρέγουσῐ(ν)
subjunctive,ὀρέγω,ὀρέγῃς,ὀρέγῃ,ὀρέγητον,ὀρέγητον,ὀρέγωμεν,ὀρέγητε,ὀρέγωσῐ(ν),
optative,ὀρέγοιμῐ,ὀρέγοις,ὀρέγοι,ὀρέγοιτον,ὀρεγοίτην,ὀρέγοιμεν,ὀρέγοιτε,ὀρέγοιεν,
imperative,,ὄρεγε,ὀρεγέτω,ὀρέγετον,ὀρεγέτων,,ὀρέγετε,ὀρεγόντων,
middle/passive,indicative,ὀρέγομαι,"ὀρέγῃ,ὀρέγει",ὀρέγεται,ὀρέγεσθον,ὀρέγεσθον,ὀρεγόμεθᾰ,ὀρέγεσθε,ὀρέγονται
subjunctive,ὀρέγωμαι,ὀρέγῃ,ὀρέγηται,ὀρέγησθον,ὀρέγησθον,ὀρεγώμεθᾰ,ὀρέγησθε,ὀρέγωνται,
optative,ὀρεγοίμην,ὀρέγοιο,ὀρέγοιτο,ὀρέγοισθον,ὀρεγοίσθην,ὀρεγοίμεθᾰ,ὀρέγοισθε,ὀρέγοιντο,
imperative,,ὀρέγου,ὀρεγέσθω,ὀρέγεσθον,ὀρεγέσθων,,ὀρέγεσθε,ὀρεγέσθων,
,active,middle/passive,,,,,,,
infinitive,ὀρέγειν,ὀρέγεσθαι,,,,,,,
participle,m,ὀρέγων,ὀρεγόμενος,,,,,,
f,ὀρέγουσᾰ,ὀρεγομένη,,,,,,,
n,ὀρέγον,ὀρεγόμενον,,,,,,,
Notes:,"This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.",,,,,,,,
number,singular,dual,plural,,,,,,
,first,second,third,second,third,first,second,third,
active,indicative,ὤρεγον,ὤρεγες,ὤρεγε(ν),ὠρέγετον,ὠρεγέτην,ὠρέγομεν,ὠρέγετε,ὤρεγον
middle/passive,indicative,ὠρεγόμην,ὠρέγου,ὠρέγετο,ὠρέγεσθον,ὠρεγέσθην,ὠρεγόμεθᾰ,ὠρέγεσθε,ὠρέγοντο
Notes:,"This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see Appendix:Ancient Greek dialectal conjugation.",,,,,,,,
number,singular,dual,plural,,,,,,
,first,second,third,second,third,first,second,third,
active,indicative,ὀρέξω,ὀρέξεις,ὀρέξει,ὀρέξετον,ὀρέξετον,ὀρέξομεν,ὀρέξετε,ὀρέξουσῐ(ν)
