0,1,2,3,4,5
,Present →,Imperfect →,Continuous future →,Continuous subjunctive →,Imperative →
1s,ωχριώ,ωχριούσα,θα ωχριώ,να ωχριώ,
2s,ωχριάς,ωχριούσες,θα ωχριάς,να ωχριάς,—
3s,ωχριά,ωχριούσε,θα ωχριά,να ωχριά,
,,,,,
1p,ωχριούμε,ωχριούσαμε,θα ωχριούμε,να ωχριούμε,
2p,ωχριάτε,ωχριούσατε,θα ωχριάτε,να ωχριάτε,ωχριάτε
3p,"ωχριούν, ωχριούνε","ωχριούσαν, ωχριούσανε","θα ωχριούν, θα ωχριούνε","να ωχριούν, να ωχριούνε",
,,,,,
,Dependent †,Simple past →,Simple future →,Simple subjunctive →,Imperative →
1s,ωχριάσω,ωχρίασα,θα ωχριάσω,να ωχριάσω,
2s,ωχριάσεις,ωχρίασες,θα ωχριάσεις,να ωχριάσεις,ωχρίασε
3s,ωχριάσει,ωχρίασε,θα ωχριάσει,να ωχριάσει,
,,,,,
1p,"ωχριάσουμε, ωχριάσομε",ωχριάσαμε,"θα ωχριάσουμε, θα ωχριάσομε","να ωχριάσουμε, να ωχριάσομε",
2p,ωχριάσετε,ωχριάσατε,θα ωχριάσετε,να ωχριάσετε,"ωχριάστε,  ωχριάσετε"
3p,"ωχριάσουν, ωχριάσουνε","ωχρίασαν, ωχριάσανε, ωχριάσαν","θα ωχριάσουν, θα ωχριάσουνε","να ωχριάσουν, να ωχριάσουνε",
,,,,,
,Perfect →,Pluperfect →,Future perfect →,Subjunctive →,
1s,έχω ωχριάσει,είχα ωχριάσει,θα έχω ωχριάσει,να έχω ωχριάσει,
2s,έχεις ωχριάσει,είχες ωχριάσει,θα έχεις ωχριάσει,να έχεις ωχριάσει,
3s,έχει ωχριάσει,είχε ωχριάσει,θα έχει ωχριάσει,να έχει ωχριάσει,
,,,,,
1p,έχουμε ωχριάσει,είχαμε ωχριάσει,θα έχουμε ωχριάσει,να έχουμε ωχριάσει,
2p,έχετε ωχριάσει,είχατε ωχριάσει,θα έχετε ωχριάσει,να έχετε ωχριάσει,
3p,έχουν ωχριάσει,είχαν ωχριάσει,θα έχουν ωχριάσει,να έχουν ωχριάσει,
,,,,,
,Participle:,ωχριώντας,Non-finite ‡,ωχριάσει,71 ασ 2AB2/2AB2d
,,,,,
,"This table is templatised, some forms shown may be rare or non-existant. Multiple forms are usually shown in order of reducing frequency.†   The dependent is not used alone, it is used to form future simple, perfective subjunctive and other forms.‡   The non-finite or aorist infinitive form is the same as the 3rd person singular dependent form, used with the auxiliary verb έχω ‎(écho) it produces perfect tense forms.",,,,
,,,,,
