0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,οἷος,οἵᾱ,οἷον,,οἵω,οἵᾱ,οἵω,,οἷοι,οἷαι,οἷᾰ
Genitive,οἵου,οἵᾱς,οἵου,,οἵοιν,οἵαιν,οἵοιν,,οἵων,οἵων,οἵων
Dative,οἵῳ,οἵᾳ,οἵῳ,,οἵοιν,οἵαιν,οἵοιν,,οἵοις,οἵαις,οἵοις
Accusative,οἷον,οἵᾱν,οἷον,,οἵω,οἵᾱ,οἵω,,οἵους,οἵᾱς,οἷᾰ
Vocative,οἷε,οἵᾱ,οἷον,,οἵω,οἵᾱ,οἵω,,οἷοι,οἷαι,οἷᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
οἵως,,οἱότερος,,οἱότᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,οἷος,οἵᾱ,οἷον,,οἵω,οἵᾱ,οἵω,,οἷοι,οἷαι,οἷᾰ
Genitive,οἵου / οἱοῖο / οἵοιο / οἱόο / οἵοο,οἵᾱς,οἵου / οἱοῖο / οἵοιο / οἱόο / οἵοο,,οἵοιῐν,οἵαι(ῐ)ν or οἵῃῐν,οἵοιῐν,,οἵων,οἵων,οἵων
Dative,οἵῳ,οἵᾳ,οἵῳ,,οἵοιῐν,οἵαι(ῐ)ν or οἵῃῐν,οἵοιῐν,,οἵοισῐ / οἵοις,οἵῃσῐ / οἵῃς / οἵαις,οἵοισῐ / οἵοις
Accusative,οἷον,οἵᾱν,οἷον,,οἵω,οἵᾱ,οἵω,,οἵους,οἵᾱς,οἷᾰ
Vocative,οἷε,οἵᾱ,οἷον,,οἵω,οἵᾱ,οἵω,,οἷοι,οἷαι,οἷᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
οἵως,,οἱότερος,,οἱότᾰτος,,,,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,οἷος,οἵᾱ,οἷον,,οἵω,οἵᾱ,οἵω,,οἷοι,οἷαι,οἷᾰ
Genitive,οἵου,οἵᾱς,οἵου,,οἵοιν,οἵαιν,οἵοιν,,οἵων,οἵων,οἵων
Dative,οἵῳ,οἵᾳ,οἵῳ,,οἵοιν,οἵαιν,οἵοιν,,οἵοισῐ(ν),οἵῃσῐ(ν),οἵοισῐ(ν)
Accusative,οἷον,οἵᾱν,οἷον,,οἵω,οἵᾱ,οἵω,,οἵους,οἵᾱς,οἷᾰ
Vocative,οἷε,οἵᾱ,οἷον,,οἵω,οἵᾱ,οἵω,,οἷοι,οἷαι,οἷᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
οἵως,,οἱότερος,,οἱότᾰτος,,,,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,,,,
