0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,χρῑστός,χρῑστή,χρῑστόν,,χρῑστώ,χρῑστᾱ́,χρῑστώ,,χρῑστοί,χρῑσταί,χρῑστᾰ́
Genitive,χρῑστοῦ,χρῑστῆς,χρῑστοῦ,,χρῑστοῖν,χρῑσταῖν,χρῑστοῖν,,χρῑστῶν,χρῑστῶν,χρῑστῶν
Dative,χρῑστῷ,χρῑστῇ,χρῑστῷ,,χρῑστοῖν,χρῑσταῖν,χρῑστοῖν,,χρῑστοῖς,χρῑσταῖς,χρῑστοῖς
Accusative,χρῑστόν,χρῑστήν,χρῑστόν,,χρῑστώ,χρῑστᾱ́,χρῑστώ,,χρῑστούς,χρῑστᾱ́ς,χρῑστᾰ́
Vocative,χρῑστέ,χρῑστή,χρῑστόν,,χρῑστώ,χρῑστᾱ́,χρῑστώ,,χρῑστοί,χρῑσταί,χρῑστᾰ́
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
χρῑστῶς,,χρῑστότερος,,χρῑστότᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Case / #,Singular,Dual,Plural,,,,,,,,
Nominative,ὁ χριστός,τὼ χριστώ,οἱ χριστοί,,,,,,,,
Genitive,τοῦ χριστοῦ,τοῖν χριστοῖν,τῶν χριστῶν,,,,,,,,
Dative,τῷ χριστῷ,τοῖν χριστοῖν,τοῖς χριστοῖς,,,,,,,,
Accusative,τὸν χριστόν,τὼ χριστώ,τοὺς χριστούς,,,,,,,,
Vocative,χριστέ,χριστώ,χριστοί,,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
English: Christ  Greek: Χριστός ‎(Christós),,Latin: Christus  Russian: Христос ‎(Xristós),,,,,,,,,
