0,1,2,3,4,5
,Present →,Imperfect →,Continuous future →,Continuous subjunctive →,Imperative →
1s,ηχώ,ηχούσα,θα ηχώ,να ηχώ,
2s,ηχείς,ηχούσες,θα ηχείς,να ηχείς,—
3s,ηχεί,ηχούσε,θα ηχεί,να ηχεί,
,,,,,
1p,ηχούμε,ηχούσαμε,θα ηχούμε,να ηχούμε,
2p,ηχείτε,ηχούσατε,θα ηχείτε,να ηχείτε,ηχείτε
3p,"ηχούν, ηχούνε","ηχούσαν, ηχούσανε","θα ηχούν, θα ηχούνε","να ηχούν, να ηχούνε",
,,,,,
,Dependent †,Simple past →,Simple future →,Simple subjunctive →,Imperative →
1s,ηχήσω,ήχησα,θα ηχήσω,να ηχήσω,
2s,ηχήσεις,ήχησες,θα ηχήσεις,να ηχήσεις,ήχησε
3s,ηχήσει,ήχησε,θα ηχήσει,να ηχήσει,
,,,,,
1p,"ηχήσουμε, ηχήσομε",ηχήσαμε,"θα ηχήσουμε, θα ηχήσομε","να ηχήσουμε, να ηχήσομε",
2p,ηχήσετε,ηχήσατε,θα ηχήσετε,να ηχήσετε,"ηχήστε,  ηχήσετε"
3p,"ηχήσουν, ηχήσουνε","ήχησαν, ηχήσαν, ηχήσανε","θα ηχήσουν, θα ηχήσουνε","να ηχήσουν, να ηχήσουνε",
,,,,,
,Perfect →,Pluperfect →,Future perfect →,Subjunctive →,
1s,έχω ηχήσει,είχα ηχήσει,θα έχω ηχήσει,να έχω ηχήσει,
2s,έχεις ηχήσει,είχες ηχήσει,θα έχεις ηχήσει,να έχεις ηχήσει,
3s,έχει ηχήσει,είχε ηχήσει,θα έχει ηχήσει,να έχει ηχήσει,
,,,,,
1p,έχουμε ηχήσει,είχαμε ηχήσει,θα έχουμε ηχήσει,να έχουμε ηχήσει,
2p,έχετε ηχήσει,είχατε ηχήσει,θα έχετε ηχήσει,να έχετε ηχήσει,
3p,έχουν ηχήσει,είχαν ηχήσει,θα έχουν ηχήσει,να έχουν ηχήσει,
,,,,,
,Participle:,ηχώντας,Non-finite ‡,ηχήσει,"73, ησ, 2B1d, 2Β1"
,,,,,
,"This table is templatised, some forms shown may be rare or non-existant. Multiple forms are usually shown in order of reducing frequency.†   The dependent is not used alone, it is used to form future simple, perfective subjunctive and other forms.‡   The non-finite or aorist infinitive form is the same as the 3rd person singular dependent form, used with the auxiliary verb έχω ‎(écho) it produces perfect tense forms.",,,,
,,,,,
,singular,,,,
nominative,ηχώ •,,,,
genitive,ηχώς •,,,,
accusative,ηχώ •,,,,
vocative,ηχώ •,,,,
