0,1,2,3,4,5,6,7,8,9,10
Case,Singular,Plural,,,,,,,,
nominative,ġifeþe,ġifeþu,,,,,,,,
accusative,ġifeþe,ġifeþu,,,,,,,,
genitive,ġifeþes,ġifeþa,,,,,,,,
dative,ġifeþe,ġifeþum,,,,,,,,
Weak,Strong,,,,,,,,,
case,singular,plural,case,singular,plural,,,,,
m,n,f,m,n,f,m,n,f,,
nominative,ġifeþa,ġifeþe,ġifeþe,ġifeþan,nom.,ġifeþe,ġifeþe,ġifeþe,"ġifeþa, -e",
accusative,ġifeþan,ġifeþe,ġifeþan,acc.,ġifeþne,ġifeþe,ġifeþe,ġifeþe,ġifeþe,"ġifeþa, -e"
genitive,ġifeþan,"ġifeþra, ġifeþena",gen.,ġifeþes,ġifeþes,ġifeþre,ġifeþra,,,
dative,ġifeþan,ġifeþum,dat.,ġifeþum,ġifeþum,ġifeþre,ġifeþum,,,
instrumental,ġifeþe,,,,,,,,,
