0,1,2,3,4,5,6,7,8
,1st sing.,2d sing.,3d sing.,Passive sing.,,,,
1st pl.,2d pl.,3d pl.,Passive pl.,,,,,
Present indicative,,·gníu,,,gníid,·gní,·gníther,
gnís (relative),,,,,,,,
,,,·gníid,,,gnítir,,
,gníte (relative),gníter (relative),,,,,,
Imperfect indicative,,,·gníad,,,,,
,,,,,,,,
Preterite,,,,,génais,·géni,,·gníth
,,,,,,,,
,,,,,·génset,,·gnítha,
,,,,,,,,
Perfect,,,,,ro·géni,,ro·gníth,
,,,,ro·génset,,ro·gnítha,,
Future,,,,,,,,
génas (relative),,,,,,,,
,,,,,,,,
,génde (relative),,,,,,,
Conditional,,,,,,,,
,,,,,,,,
Present subjunctive,,,,,,,,
,,,,,,,,
,,,,,,,,
,gnete (relative),,,,,,,
Past subjunctive,,,,,,,,
·gnemmis,,·gnetis,,,,,,
Imperative,,,,,,,,
,,,,,,,,
Note: only forms actually attested in Old Irish are listed here.,,,,,,,,
Old Irish mutation,,,,,,,,
Radical,Lenition,Nasalization,,,,,,
gníid,gníidpronounced with /ɣ(ʲ)-/,ngníid,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,
