0,1,2,3,4,5
,present,past,,,
infinitive,grava,—,,,
participle,"gravandi, -e",gravin,,,
active voice,indicative,subjunctive,imperative,indicative,subjunctive
iæk,graver,"gravi, -e",—,grōf,"grōvi, -e"
þū,graver,"gravi, -e",graf,grōft,"grōvi, -e"
han,graver,"gravi, -e",—,grōf,"grōvi, -e"
vīr,"gravum, -om","gravum, -om","gravum, -om","grōvum, -om","grōvum, -om"
īr,gravin,gravin,gravin,grōvin,grōvin
þēr,grava,gravin,—,"grōvu, -o",grōvin
mediopassive voice,indicative,subjunctive,imperative,indicative,subjunctive
iæk,grafs,"gravis, -es",—,grōfs,"grōvis, -es"
þū,grafs,"gravis, -es",—,grōfts,"grōvis, -es"
han,grafs,"gravis, -es",—,grōfs,"grōvis, -es"
vīr,"gravums, -oms","gravums, -oms",—,"grōvums, -oms","grōvums, -oms"
īr,gravins,gravins,—,grōvins,grōvins
þēr,gravas,gravins,—,"grōvus, -os",grōvins
