0,1,2,3,4
Inflection of fossil,,,,
Indefinite/attributive,Positive,Comparative,Superlative2,
Common singular,fossil,—,—,
Neuter singular,fossilt,—,—,
Plural,fossila,—,—,
Definite,Positive,Comparative,Superlative,
Masculine singular1,fossile,—,—,
All,fossila,—,—,
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,,
,singular,plural,,
Neuter,indefinite,definite,indefinite,definite
nominative,fossil,fossilet,fossil,fossilen
genitive,fossils,fossilets,fossils,fossilens
,singular,plural,,
Neuter,indefinite,definite,indefinite,definite
nominative,fossil,fossilet,fossiler,fossilerna
genitive,fossils,fossilets,fossilers,fossilernas
