0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
Infinitive (archaic),lehetni,,,,,,,
Positive adjective (-able),lehető,,,,,,,
Negative adjective (un-...-able),lehetetlen,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,lehetek,lehetsz,lehet,lehetünk,lehettek,lehetnek
Definite,"intransitive verb, definite forms are not used",,,,,,,
Past,Indefinite,lehettem,lehettél,lehetett,lehettünk,lehettetek,lehettek,
Definite,-,,,,,,,
Conditional Mood,Present,Indefinite,lehetnék,lehetnél,lehetne,lehetnénk,lehetnétek,lehetnének
Definite,-,,,,,,,
Subjunctive Mood,Present,Indefinite,lehessek,lehessorlehessél,lehessen,lehessünk,lehessetek,lehessenek
Definite,-,,,,,,,
