0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
Infinitive,fájni,,,,,,,
Past participle,fájt,,,,,,,
Present participle,fájó,,,,,,,
Future participle,-,,,,,,,
Adverbial participle,fájva,,,,,,,
Potential,fájhat,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,fájok,fájsz,fáj,fájunk,fájtok,fájnak
Definite,"intransitive verb, definite forms are not used",,,,,,,
Past,Indefinite,fájtam,fájtál,fájt,fájtunk,fájtatok,fájtak,
Definite,-,,,,,,,
Conditional Mood,Present,Indefinite,fájnék,fájnál,fájna,fájnánk,fájnátok,fájnának
Definite,-,,,,,,,
Subjunctive Mood,Present,Indefinite,fájjak,fájjorfájjál,fájjon,fájjunk,fájjatok,fájjanak
Definite,-,,,,,,,
Conjugated Infinitive,fájnom,fájnod,fájnia,fájnunk,fájnotok,fájniuk,,
fájás  fájdalom  fájdít,,fájdul  fájlal  fájó,,,,,,
