0,1,2,3,4
Picture dictionary,,,,
თავის ქალა ტვინი თვალი ტუჩი ცხვირი პირი ნიკაპი ყბა ყური საფეთქელი კისერი,,,,
Click on labels in the image.,Click on labels in the image.,,,
Click on labels in the image.,,,,
Click on labels in the image.,,,,
,singular,plural,archaic plural,
nominative,პირი ‎(ṗiri),პირები ‎(ṗirebi),პირნი ‎(ṗirni),
ergative,პირმა ‎(ṗirma),პირებმა ‎(ṗirebma),პირთ(ა) ‎(ṗirt(a)),
dative,პირს(ა) ‎(ṗirs(a)),პირებს(ა) ‎(ṗirebs(a)),პირთ(ა) ‎(ṗirt(a)),
genitive,პირის(ა) ‎(ṗiris(a)),პირების(ა) ‎(ṗirebis(a)),პირთ(ა) ‎(ṗirt(a)),
instrumental,პირით(ა) ‎(ṗirit(a)),პირებით(ა) ‎(ṗirebit(a)),,
adverbial,პირად(ა) ‎(ṗirad(a)),პირებად(ა) ‎(ṗirebad(a)),,
vocative,პირო ‎(ṗiro),პირებო ‎(ṗirebo),პირნო ‎(ṗirno),
Notes: archaic plurals might not exist.,,,,
postpositions taking a dative case,singular,plural,,
-ზე (on - ),პირზე ‎(ṗirze),პირებზე ‎(ṗirebze),,
-თან (near - ),პირთან ‎(ṗirtan),პირებთან ‎(ṗirebtan),,
-ში (in - ),პირში ‎(ṗirši),პირებში ‎(ṗirebši),,
-ვით (like a - ),პირივით ‎(ṗirivit),პირებივით ‎(ṗirebivit),,
postpositions taking a genitive case,singular,plural,,
-თვის (for - ),პირისთვის ‎(ṗiristvis),პირებისთვის ‎(ṗirebistvis),,
-ებრ (like a - ),პირისებრ ‎(ṗirisebr),პირებისებრ ‎(ṗirebisebr),,
-კენ (towards - ),პირისკენ ‎(ṗirisḳen),პირებისკენ ‎(ṗirebisḳen),,
-გან (from/of - ),პირისგან ‎(ṗirisgan),პირებისგან ‎(ṗirebisgan),,
postpositions taking an instrumental case,singular,plural,,
-დან (from / since - ),პირიდან ‎(ṗiridan),პირებიდან ‎(ṗirebidan),,
-ურთ (together with - ),პირითურთ ‎(ṗiriturt),პირებითურთ ‎(ṗirebiturt),,
postpositions taking an adverbial case,singular,plural,,
-მდე (up to - ),პირამდე ‎(ṗiramde),პირებამდე ‎(ṗirebamde),,
