0,1,2,3,4,5,6,7
dolir  doler  doleir,,doudre  douloir  duleir,,,,,
,simple,compound,,,,,
infinitive,doloir,avoir dolu,,,,,
gerund,"en dolant, doillant, dueillant",Use the gerund of avoir followed by the past participle,,,,,
present participle,"dolant, doillant, dueillant",,,,,,
past participle,dolu,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,jo,tu,il,nos,vos,il,
simpletenses,present,"doil, dueil, duel",dueus,dueut,dolons,dolez,duelent
imperfect,"doloie, doleie","doloies, doleies","doloit, doleit","doliiens, doliens","doliiez, doliez","doloient, doleient",
preterite,dolui,dolus,dolu,dolumes,dolustes,dolurent,
future,doudrai,doudras,doudra,doudrons,"doudroiz, doudreiz, doudrez",doudront,
conditional,"doudroie, doudreie","doudroies, doudreies","doudroit, doudreit","doudriiens, doudriens","doudriiez, doudriez","doudroient, doudreient",
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior,Use the preterite tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que jo,que tu,qu’il,que nos,que vos,qu’il,
simpletenses,present,dueille,dueilles,dueille,"doilliens, doillons, dueillons","doilliez, dueilliez",dueillent
imperfect,dolusse,dolusses,dolust,"dolussons, dolussiens","dolussoiz, dolussez, dolussiez",dolussent,
compoundtenses,past,Use the present subjunctive of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect subjunctive of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nos,vos,–,
—,duel,—,dolons,dolez,—,,
