0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Audio,,(file),,,,,,,,,,,,,,,,,,,,,,,,,,
declension of én  nominative  én  accusative  engem  dative  nekem  instrumental  velem  causal-final  értem  inessive  bennem  superessive  rajtam  adessive  nálam  illative  belém  sublative  rám  allative  hozzám  elative  belőlem  delative  rólam  ablative  tőlem,nominative,én,accusative,engem,dative,nekem,instrumental,velem,causal-final,értem,inessive,bennem,superessive,rajtam,adessive,nálam,illative,belém,sublative,rám,allative,hozzám,elative,belőlem,delative,rólam,ablative,tőlem
nominative,én,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,engem,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,nekem,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,velem,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal-final,értem,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,bennem,,,,,,,,,,,,,,,,,,,,,,,,,,,
superessive,rajtam,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,nálam,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,belém,,,,,,,,,,,,,,,,,,,,,,,,,,,
sublative,rám,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,hozzám,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,belőlem,,,,,,,,,,,,,,,,,,,,,,,,,,,
delative,rólam,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,tőlem,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,én,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,engem,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,nekem,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,velem,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal-final,értem,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,bennem,,,,,,,,,,,,,,,,,,,,,,,,,,,
superessive,rajtam,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,nálam,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,belém,,,,,,,,,,,,,,,,,,,,,,,,,,,
sublative,rám,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,hozzám,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,belőlem,,,,,,,,,,,,,,,,,,,,,,,,,,,
delative,rólam,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,tőlem,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inflection (plural in -ek, front unrounded harmony)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,én,ének,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,ént,éneket,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,énnek,éneknek,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,énnel,énekkel,,,,,,,,,,,,,,,,,,,,,,,,,,
causal-final,énért,énekért,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,énné,énekké,,,,,,,,,,,,,,,,,,,,,,,,,,
terminative,énig,énekig,,,,,,,,,,,,,,,,,,,,,,,,,,
essive-formal,énként,énekként,,,,,,,,,,,,,,,,,,,,,,,,,,
essive-modal,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,énben,énekben,,,,,,,,,,,,,,,,,,,,,,,,,,
superessive,énen,éneken,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,énnél,éneknél,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,énbe,énekbe,,,,,,,,,,,,,,,,,,,,,,,,,,
sublative,énre,énekre,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,énhez,énekhez,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,énből,énekből,,,,,,,,,,,,,,,,,,,,,,,,,,
delative,énről,énekről,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,éntől,énektől,,,,,,,,,,,,,,,,,,,,,,,,,,
Possessive forms of én,,,,,,,,,,,,,,,,,,,,,,,,,,,,
possessor,single possession,multiple possessions,,,,,,,,,,,,,,,,,,,,,,,,,,
1st person sing.,énem,énjeim,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd person sing.,éned,énjeid,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd person sing.,énje,énjei,,,,,,,,,,,,,,,,,,,,,,,,,,
1st person plural,énünk,énjeink,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd person plural,énetek,énjeitek,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd person plural,énjük,énjeik,,,,,,,,,,,,,,,,,,,,,,,,,,
