0,1,2
Audio,,(file)
"Inflection (plural in -ok, back harmony)",,
,singular,plural
nominative,grafikus,grafikusok
accusative,grafikust,grafikusokat
dative,grafikusnak,grafikusoknak
instrumental,grafikussal,grafikusokkal
causal-final,grafikusért,grafikusokért
translative,grafikussá,grafikusokká
terminative,grafikusig,grafikusokig
essive-formal,grafikusként,grafikusokként
essive-modal,—,—
inessive,grafikusban,grafikusokban
superessive,grafikuson,grafikusokon
adessive,grafikusnál,grafikusoknál
illative,grafikusba,grafikusokba
sublative,grafikusra,grafikusokra
allative,grafikushoz,grafikusokhoz
elative,grafikusból,grafikusokból
delative,grafikusról,grafikusokról
ablative,grafikustól,grafikusoktól
Possessive forms of grafikus,,
possessor,single possession,multiple possessions
1st person sing.,grafikusom,grafikusaim
2nd person sing.,grafikusod,grafikusaid
3rd person sing.,grafikusa,grafikusai
1st person plural,grafikusunk,grafikusaink
2nd person plural,grafikusotok,grafikusaitok
3rd person plural,grafikusuk,grafikusaik
