0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
"Inflection (stem in -o-, back harmony)",,,,,,,,
,singular,plural,,,,,,
nominative,csavar,csavarok,,,,,,
accusative,csavart,csavarokat,,,,,,
dative,csavarnak,csavaroknak,,,,,,
instrumental,csavarral,csavarokkal,,,,,,
causal-final,csavarért,csavarokért,,,,,,
translative,csavarrá,csavarokká,,,,,,
terminative,csavarig,csavarokig,,,,,,
essive-formal,csavarként,csavarokként,,,,,,
essive-modal,—,—,,,,,,
inessive,csavarban,csavarokban,,,,,,
superessive,csavaron,csavarokon,,,,,,
adessive,csavarnál,csavaroknál,,,,,,
illative,csavarba,csavarokba,,,,,,
sublative,csavarra,csavarokra,,,,,,
allative,csavarhoz,csavarokhoz,,,,,,
elative,csavarból,csavarokból,,,,,,
delative,csavarról,csavarokról,,,,,,
ablative,csavartól,csavaroktól,,,,,,
Possessive forms of csavar,,,,,,,,
possessor,single possession,multiple possessions,,,,,,
1st person sing.,csavarom,csavarjaim,,,,,,
2nd person sing.,csavarod,csavarjaid,,,,,,
3rd person sing.,csavarja,csavarjai,,,,,,
1st person plural,csavarunk,csavarjaink,,,,,,
2nd person plural,csavarotok,csavarjaitok,,,,,,
3rd person plural,csavarjuk,csavarjaik,,,,,,
Infinitive,csavarni,,,,,,,
Past participle,csavart,,,,,,,
Present participle,csavaró,,,,,,,
Future participle,csavarandó,,,,,,,
Adverbial participle,csavarva,,,,,,,
Potential,csavarhat,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,csavarok,csavarsz,csavar,csavarunk,csavartok,csavarnak
Definite,csavarom én téged/titeketcsavarlak,csavarod,csavarja,csavarjuk,csavarjátok,csavarják,,
Past,Indefinite,csavartam,csavartál,csavart,csavartunk,csavartatok,csavartak,
Definite,csavartamén téged/titeketcsavartalak,csavartad,csavarta,csavartuk,csavartátok,csavarták,,
Conditional Mood,Present,Indefinite,csavarnék,csavarnál,csavarna,csavarnánk,csavarnátok,csavarnának
Definite,csavarnámén téged/titeketcsavarnálak,csavarnád,csavarná,csavarnánk,csavarnátok,csavarnák,,
Subjunctive Mood,Present,Indefinite,csavarjak,csavarjorcsavarjál,csavarjon,csavarjunk,csavarjatok,csavarjanak
Definite,csavarjamén téged/titeketcsavarjalak,csavardorcsavarjad,csavarja,csavarjuk,csavarjátok,csavarják,,
Conjugated Infinitive,csavarnom,csavarnod,csavarnia,csavarnunk,csavarnotok,csavarniuk,,
