0,1,2,3,4,5,6,7,8,9
Infinitive,ban,,,,,,,,
Root,ba-,,,,,,,,
Tense particles (See particles),-a- (future tense),,,,,,,,
-pe- (past tense),,,,,,,,,
-fu- (distant past tense),,,,,,,,,
person,singular,dual,plural,,,,,,
first,second,third,first,second,third,first,second,third,
Realis mood,iñce,eymi,fey,iñciw,eymu,feygu,iñciñ,eymvn,feygvn
ban,baymi,bay,bayu,baymu,baygu,bayiñ,baymvn,baygvn,
Conditional mood,iñce,eymi,fey,iñciw,eymu,feygu,iñciñ,eymvn,feygvn
bali,balimi,bale,baliyu,balimu,bale egu,baliyiñ,balimvn,bale egvn,
Volitive mood,iñce,eymi,fey,iñciw,eymu,feygu,iñciñ,eymvn,feygvn
baci,bage,bape,bayu,bamu,bape egu,bayiñ,bamvn,bape egvn,
