0,1,2,3,4,5,6
,present,imperfective,future,imperative,sigmatic aorist,new aorist
1st person sg,несѫ,несѣахъ,бѫдѫ нести,—,нѣсъ,несохъ
2nd person sg,несеши,несѣаше,бѫдеши нести,неси,несе,несе
3rd person sg,несетъ,несѣаше,бѫдетъ нести,неси,несе,несе
1st person dual,несевѣ,несѣаховѣ,бѫдевѣ нести,несѣвѣ,нѣсовѣ,несоховѣ
2nd person dual,несета,несѣашета,бѫдета нести,несѣта,нѣста,несоста
3rd person dual,несете,несѣашете,бѫдете нести,—,нѣсте,несосте
1st person pl,несемъ,несѣахомъ,бѫдемъ нести,несѣмъ,нѣсомъ,несохомъ
2nd person pl,несете,несѣашете,бѫдете нести,несѣте,нѣсте,несосте
3rd person pl,несѫтъ,несѣахѫ,бѫдѫтъ нести,—,нѣсѧ,несошѧ
,masculine sg,neuter sg,feminine sg,,,
present active participle,несꙑ,несꙑ,несѫщи,,,
present passive participle,несомъ,—,—,,,
resultative participle,неслъ,несло,несла,,,
past active participle,несъ,несъ,несъши,,,
past passive participle,несенъ,—,—,,,
supine,нестъ,—,—,,,
substantive,—,несеньѥ,—,,,
,,,,,,
