0,1,2,3,4,5,6,7,8,9
Personal forms,,,,,,,,,
,Indicative,Conditional,Imperative,,,,,,
Present,Imperfect,Preterite,Future,Present (habitual),Imperfect (habitual),Present,Imperfect,,
1s,am eus*,am boa*,am boe*,am bo*,am bez*,am beze*,am befe*,am bije*,am bezet*
2s,"ac'h eus, az peus*",az poa*,az poe*,az po*,az pez*,az peze*,az pefe*,az pije*,az pez*
3s (m),en deus,"en doa, devoa","en doe, devoe",en devo,en devez,en deveze,en defe,en dije,en devezet
3s (f),he deus,"he doa, devoa","he doe, devoe",he devo,he devez,he deveze,he defe,he dije,he devezet
1p,hon eus,hor boa,hor boe,hor bo,hor bez,hor beze,hor befe,hor bije,hor bezet
2p,"hoc'h eus, ho peus",ho poa,ho poe,ho po,ho pez,ho peze,ho pefe,ho pije,"ho pezet, ho pet"
3p,o deus,"o doa, devoa","o doe, devoe",o devo,o devez,o deveze,o defe,o dije,o devezet
0,ez eus,e oa,e voe,e vo,e vez,e veze,e vefe,e vije,-
Impersonal forms,Mutated forms,,,,,,,,
"Infinitive: kaout, endevout, en devout Present participle: o kaout, oc'h endevout Past participle: bet (auxiliary verb: kaout)",Soft mutation after a: - Mixed mutation after e: - Mixed mutation after o: n'am eus,,,,,,,,
Breton consonant mutation,,,,,,,,,
unmutated,soft,aspirate,hard,mixed,,,,,
kaout,gaout,c'haout,unchanged,unchanged,,,,,
