0,1,2,3,4,5,6
infinitive (nafnháttur),að bæta,,,,,
supine (sagnbót),bætt,,,,,
present participle (lýsingarháttur nútíðar),bætandi,,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég bæti,við bætum,present (nútíð),ég bæti,við bætum,
þú bætir,þið bætið,þú bætir,þið bætið,,,
"hann, hún, það bætir","þeir, þær, þau bæta","hann, hún, það bæti","þeir, þær, þau bæti",,,
,,,,,,
past (þátíð),ég bætti,við bættum,past (þátíð),ég bætti,við bættum,
þú bættir,þið bættuð,þú bættir,þið bættuð,,,
"hann, hún, það bætti","þeir, þær, þau bættu","hann, hún, það bætti","þeir, þær, þau bættu",,,
,,,,,,
imperative (boðháttur),bæt (þú),bætið (þið),,,,
Forms with appended personal pronoun,,,,,,
bættu,bætiði *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
infinitive (nafnháttur),að bætast,,,,,
supine (sagnbót),bæst,,,,,
present participle (lýsingarháttur nútíðar),"bætandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég bætist,við bætumst,present (nútíð),ég bætist,við bætumst,
þú bætist,þið bætist,þú bætist,þið bætist,,,
"hann, hún, það bætist","þeir, þær, þau bætast","hann, hún, það bætist","þeir, þær, þau bætist",,,
,,,,,,
past (þátíð),ég bættist,við bættumst,past (þátíð),ég bættist,við bættumst,
þú bættist,þið bættust,þú bættist,þið bættust,,,
"hann, hún, það bættist","þeir, þær, þau bættust","hann, hún, það bættist","þeir, þær, þau bættust",,,
,,,,,,
imperative (boðháttur),bæst (þú),bætist (þið),,,,
Forms with appended personal pronoun,,,,,,
bæstu,bætisti *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
strong declension (sterk beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),bættur,bætt,bætt,bættir,bættar,bætt
accusative (þolfall),bættan,bætta,bætt,bætta,bættar,bætt
dative (þágufall),bættum,bættri,bættu,bættum,bættum,bættum
genitive (eignarfall),bætts,bættrar,bætts,bættra,bættra,bættra
,,,,,,
weak declension (veik beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),bætti,bætta,bætta,bættu,bættu,bættu
accusative (þolfall),bætta,bættu,bætta,bættu,bættu,bættu
dative (þágufall),bætta,bættu,bætta,bættu,bættu,bættu
genitive (eignarfall),bætta,bættu,bætta,bættu,bættu,bættu
bæta á  bæta fyrir  bæta gráu ofan á svart,,bæta ráð sitt  bæta úr skák,,,,
