0,1,2
,,
infinitive,fechten,
indicative,present,preterite
1st person singular,fecht,fecht
2nd person singular,fechtst,fechtst
3rd person singular,fecht,fecht
plural,fecht,fechten
imperative,present,—
singular,fecht,
plural,fecht,
participle,present,past
,fechten,fecht
Note: This conjugation is one of many; neither its grammar nor spelling apply to all dialects.,,
,,
infinitive,fechten,
indicative,present,preterite
1st person singular,fecht,focht
2nd person singular,fechts(t),fochts(t)
3rd person singular,fecht(t),focht
plural,"fechtt, fechten",fochten
imperative,present,—
singular,fecht,
plural,fechtt,
participle,present,past
,fechten,"(e)fochten, gefochten"
Note: This conjugation is one of many; neither its grammar nor spelling apply to all dialects.,,
