0,1,2,3,4,5,6,7,8
,1st sing.,2d sing.,3d sing.,Impersonal,,,,
1st pl.,2d pl.,3d pl.,,,,,,
Present indicative*,at·tó (progressive)bíuu (consuetudinal),·tó (progressive)·bíu (consuetudinal),at·taí (progressive),·taí (progressive)·bí (consuetudinal),at·tá (progressive)bíid (consuetudinal); ro·bí (consuetudinal ro-form),·tá (progressive)·bí (consuetudinal); ·rubai (consuetudinal ro-form),bíthir (consuetudinal); ro·bíther (consuetudinal ro-form),·táthar (progressive)·bíther (consuetudinal); ·rubther (consuetudinal ro-form)
fil (progressive relative)bís (consuetudinal relative),,,,,,,,
at·taam (progressive)bímmi (consuetudinal),·taam (progressive)·biam (consuetudinal),at·taïd (progressive),·taïd (progressive),at·taat (progressive)bíit (consuetudinal); ro·bíat (consuetudinal ro-form),·taat (progressive)·bíat (consuetudinal); ·rubat (consuetudinal ro-form),bíther (consuetudinal relative),,
bímme (consuetudinal relative),bíte (consuetudinal relative),,,,,,,
Imperfect indicative,·bíinn,,·bíth,·bíthe,,,,
·bímmis,,·bítis,,,,,,
Preterite,bá,·bá,,·bá,boí,·boí,bothae,·both
boíe (relative),,,,,,,,
bámmar,·bámmar,,·baid,bátar,·bátar,,,
bátar (relative),,,,,,,,
Perfect,ro·bá,·roba,ro·bá,,ro·boí,·robae,ro·both,·rabad
ro·bámmar,·robammar,ro·baid,·robaid,ro·bátar,·robatar,,,
Future,bia,,bie,,bieid,·bia,bethir,·bether
bias (relative),,,,,,,,
beimmi,·biam,bethe,·bieid,bieit,·biat,,,
beite (relative),,,,,,,,
Conditional,·beinn,,·biad,,,,,
·bemmis,,·betis,,,,,,
Present subjunctive,béo,·béo,bee; ro·bé (ro-form),·bé,beid; ro·bé (ro-form),·bé; ·roib (ro-form),bethir,·bether
bess (relative),,,,,,,,
beimmi; ro·bem (ro-form),·bem; ·robam (ro-form),beithe; ro·beid (ro-form),·beid; ·robith (ro-form),beit; ro·bet (ro-form),·bet; ·robat (ro-form),bether (relative),,
Past subjunctive,·beinn,·betha,·beth,·bethe,,,,
ro·beth (ro-form),·robad (ro-form),,,,,,,
·bemmis,·bethe,·betis,,,,,,
ro·betis (ro-form),·roibtis (ro-form),,,,,,,
Imperative,,bí,biid,,,,,
,biid,biat,,,,,,
"Note: certain conjunct forms of the present progressive are formed with fil, taking an infixed object pronoun as the logical subject, e.g. ní·ḟil ""it is not"", ní-n·fil ""we are not"", ní-s·fil ""they are not"" etc.",,,,,,,,
