0,1,2,3,4,5,6,7
,Indicative,Subjunctive,Imperative,,,,
Pres-fut,Imperfect,Preterite,Conditional,Pres-fut,Imperfect,,
1s,mynnav vy,mynnen vy,mynnis vy,mynsen vy,mynniv vy,mynnen vy,-
2s,mynnydh jy,mynnes jy,mynsys jy,mynses jy,mynni jy,mynnes jy,mynn
3s,mynn ev,mynna ev,mynnas ev,mynsa ev,mynno ev,mynna ev,mynnes
1p,mynnyn ni,mynnen ni,mynsyn ni,mynsen ni,mynnyn ni,mynnen ni,mynnyn
2p,mynnowgh hwi,mynnewgh hwi,mynsowgh hwi,mynsewgh hwi,mynnowgh hwi,mynnewgh hwi,mynnowgh
3p,mynnons i,mynnens i,mynsons i,mynsens i,mynnons i,mynnens i,mynnens
0,mynnir,mynnes,mynsys,mynses,mynner,mynnys,-
Present participle: ow mynnes Verbal adjective: mynnys,,,,,,,
Cornish consonant mutation,,,,,,,
unmutated,soft,aspirate,hard,mixed,mixed after 'th,,
mynnes,vynnes,unchanged,unchanged,fynnes,vynnes,,
