0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
,Indicative,Imperative,,,,,,
person,Present,Past,Future,,,,,
,Masculine,Feminine,Neuter,,,,,
animate,inanimate,,,,,,,
I,"funguji, (informal) funguju",fungoval jsem,fungovala jsem,fungovalo jsem,budu fungovat,—,,
you (singular),funguješ,"fungoval jsi, (informal) fungovals","fungovala jsi, (informal) fungovalas","fungovalo jsi, (informal) fungovalos",budeš fungovat,funguj,,
you (polite),fungujete,fungoval jste,fungovala jste,fungovalo jste,budete fungovat,fungujte,,
he/she/it,funguje,fungoval,fungovala,fungovalo,bude fungovat,—,,
we,"fungujeme , (informal) fungujem",fungovali jsme,fungovaly jsme,fungovala jsme,budeme fungovat,fungujme,,
you (plural),fungujete,fungovali jste,fungovaly jste,fungovala jste,budete fungovat,fungujte,,
they,"fungují, (informal) fungujou",fungovali,fungovaly,fungovaly,fungovala,budou fungovat,—,
,Conditional,,,,,,,
person,Present,Past,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
I,fungoval bych,fungovala bych,fungovalo bych,byl bych fungoval,byla bych fungovala,bylo bych fungovalo,,
you (singular),fungoval bys,fungovala bys,fungovalo bys,byl bys fungoval,byla bys fungovala,bylo bys fungovalo,,
you (polite),fungoval byste,fungovala byste,fungovalo byste,byl byste fungoval,byla byste fungovala,bylo byste fungovalo,,
he/she/it,fungoval by,fungovala by,fungovalo by,byl by fungoval,byla by fungovala,bylo by fungovalo,,
we,fungovali bychom,fungovaly bychom,fungovala bychom,byli bychom fungovali,byly bychom fungovaly,byla bychom fungovala,,
you (plural),fungovali byste,fungovaly byste,fungovala byste,byli byste fungovali,byly byste fungovaly,byla byste fungovala,,
they,fungovali by,fungovaly by,fungovaly by,fungovala by,byli by fungovali,byly by fungovaly,byly by fungovaly,byla by fungovala
,Participle,,,,,,,
Number,Active (Perfect),Passive,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
singular,fungoval,fungovala,fungovalo,fungován,fungována,fungováno,,
plural,fungovali,fungovaly,fungovaly,fungovala,fungováni,fungovány,fungovány,fungována
,transgressive present,transgressive past,,,,,,
Number,Masculine,Feminine,Masculine,Feminine,,,,
singular,fungujíce,fungujíc,fungovav,fungovavši,,,,
plural,fungujíce,fungovavše,,,,,,
,Infinitive,Verbal adjective,Gerund,,,,,
,fungovat,fungující,fungování,,,,,
