0,1,2,3,4,5,6,7,8
audio,,(file),,,,,,
,Indicative,Imperative,,,,,,
person,Present,Past,Future,,,,,
,Masculine,Feminine,Neuter,,,,,
animate,inanimate,,,,,,,
I,zpívám,zpíval jsem,zpívala jsem,zpívalo jsem,budu zpívat,—,,
you (singular),zpíváš,zpíval jsi,zpívala jsi,zpívalo jsi,budeš zpívat,zpívej,,
you (polite),zpíváte,zpíval jste,zpívala jste,zpívalo jste,budete zpívat,zpívejte,,
he/she/it,zpívá,zpíval,zpívala,zpívalo,bude zpívat,—,,
we,zpíváme,zpívali jsme,zpívaly jsme,zpívala jsme,budeme zpívat,zpívejme,,
you (plural),zpíváte,zpívali jste,zpívaly jste,zpívala jste,budete zpívat,zpívejte,,
they,zpívají,zpívali,zpívaly,zpívaly,zpívala,budou zpívat,—,
,Conditional,,,,,,,
person,Present,Past,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
I,zpíval bych,zpívala bych,zpívalo bych,byl bych zpíval,byla bych zpívala,bylo bych zpívalo,,
you (singular),zpíval bys,zpívala bys,zpívalo bys,byl bys zpíval,byla bys zpívala,bylo bys zpívalo,,
you (polite),zpíval byste,zpívala byste,zpívalo byste,byl byste zpíval,byla byste zpívala,bylo byste zpívalo,,
he/she/it,zpíval by,zpívala by,zpívalo by,byl by zpíval,byla by zpívala,bylo by zpívalo,,
we,zpívali bychom,zpívaly bychom,zpívala bychom,byli bychom zpívali,byly bychom zpívaly,byla bychom zpívala,,
you (plural),zpívali byste,zpívaly byste,zpívala byste,byli byste zpívali,byly byste zpívaly,byla byste zpívala,,
they,zpívali by,zpívaly by,zpívaly by,zpívala by,byli by zpívali,byly by zpívaly,byly by zpívaly,byla by zpívala
,Participle,,,,,,,
Number,Active (Perfect),Passive,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
singular,zpíval,zpívala,zpívalo,zpíván,zpívána,zpíváno,,
plural,zpívali,zpívaly,zpívaly,zpívala,zpíváni,zpívány,zpívány,zpívána
,transgressive present,transgressive past,,,,,,
Number,Masculine,Feminine,Masculine,Feminine,,,,
singular,zpívaje,zpívajíc,zpívav,zpívavši,,,,
plural,zpívajíce,zpívavše,,,,,,
,Infinitive,Verbal adjective,Gerund,,,,,
,zpívat,zpívající,zpívání,,,,,
dozpívat  nazpívat  přezpívat,,vyzpívat  zazpívat  zpívání,,,,,,
zpěv  zpěvačka,,zpěvák  zpěvný,,,,,,
