0,1,2,3,4,5,6,7,8
,Indicative,Imperative,,,,,,
person,Present,Past,Future,,,,,
,Masculine,Feminine,Neuter,,,,,
animate,inanimate,,,,,,,
I,"gratuluji, (informal) gratuluju",gratuloval jsem,gratulovala jsem,gratulovalo jsem,budu gratulovat,—,,
you (singular),gratuluješ,"gratuloval jsi, (informal) gratulovals","gratulovala jsi, (informal) gratulovalas","gratulovalo jsi, (informal) gratulovalos",budeš gratulovat,gratuluj,,
you (polite),gratulujete,gratuloval jste,gratulovala jste,gratulovalo jste,budete gratulovat,gratulujte,,
he/she/it,gratuluje,gratuloval,gratulovala,gratulovalo,bude gratulovat,—,,
we,"gratulujeme , (informal) gratulujem",gratulovali jsme,gratulovaly jsme,gratulovala jsme,budeme gratulovat,gratulujme,,
you (plural),gratulujete,gratulovali jste,gratulovaly jste,gratulovala jste,budete gratulovat,gratulujte,,
they,"gratulují, (informal) gratulujou",gratulovali,gratulovaly,gratulovaly,gratulovala,budou gratulovat,—,
,Conditional,,,,,,,
person,Present,Past,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
I,gratuloval bych,gratulovala bych,gratulovalo bych,byl bych gratuloval,byla bych gratulovala,bylo bych gratulovalo,,
you (singular),gratuloval bys,gratulovala bys,gratulovalo bys,byl bys gratuloval,byla bys gratulovala,bylo bys gratulovalo,,
you (polite),gratuloval byste,gratulovala byste,gratulovalo byste,byl byste gratuloval,byla byste gratulovala,bylo byste gratulovalo,,
he/she/it,gratuloval by,gratulovala by,gratulovalo by,byl by gratuloval,byla by gratulovala,bylo by gratulovalo,,
we,gratulovali bychom,gratulovaly bychom,gratulovala bychom,byli bychom gratulovali,byly bychom gratulovaly,byla bychom gratulovala,,
you (plural),gratulovali byste,gratulovaly byste,gratulovala byste,byli byste gratulovali,byly byste gratulovaly,byla byste gratulovala,,
they,gratulovali by,gratulovaly by,gratulovaly by,gratulovala by,byli by gratulovali,byly by gratulovaly,byly by gratulovaly,byla by gratulovala
,Participle,,,,,,,
Number,Active (Perfect),Passive,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
singular,gratuloval,gratulovala,gratulovalo,gratulován,gratulována,gratulováno,,
plural,gratulovali,gratulovaly,gratulovaly,gratulovala,gratulováni,gratulovány,gratulovány,gratulována
,transgressive present,transgressive past,,,,,,
Number,Masculine,Feminine,Masculine,Feminine,,,,
singular,gratulujíce,gratulujíc,gratulovav,gratulovavši,,,,
plural,gratulujíce,gratulovavše,,,,,,
,Infinitive,Verbal adjective,Gerund,,,,,
,gratulovat,gratulující,gratulování,,,,,
