0,1,2,3,4,5,6
Audio,,(file),,,,
number & gender,singular,plural,,,,
masculine,feminine,neuter,all genders,,,
predicative,er ist rund,sie ist rund,es ist rund,sie sind rund,,
strong declension (without article),nominative,runder,runde,rundes,runde,
genitive,runden,runder,runden,runder,,
dative,rundem,runder,rundem,runden,,
accusative,runden,runde,rundes,runde,,
weak declension (with definite article),nominative,der runde,die runde,das runde,die runden,
genitive,des runden,der runden,des runden,der runden,,
dative,dem runden,der runden,dem runden,den runden,,
accusative,den runden,die runde,das runde,die runden,,
mixed declension (with indefinite article),nominative,ein runder,eine runde,ein rundes,(keine) runden,
genitive,eines runden,einer runden,eines runden,(keiner) runden,,
dative,einem runden,einer runden,einem runden,(keinen) runden,,
accusative,einen runden,eine runde,ein rundes,(keine) runden,,
number & gender,singular,plural,,,,
masculine,feminine,neuter,all genders,,,
predicative,er ist runder,sie ist runder,es ist runder,sie sind runder,,
strong declension (without article),nominative,runderer,rundere,runderes,rundere,
genitive,runderen,runderer,runderen,runderer,,
dative,runderem,runderer,runderem,runderen,,
accusative,runderen,rundere,runderes,rundere,,
weak declension (with definite article),nominative,der rundere,die rundere,das rundere,die runderen,
genitive,des runderen,der runderen,des runderen,der runderen,,
dative,dem runderen,der runderen,dem runderen,den runderen,,
accusative,den runderen,die rundere,das rundere,die runderen,,
mixed declension (with indefinite article),nominative,ein runderer,eine rundere,ein runderes,(keine) runderen,
genitive,eines runderen,einer runderen,eines runderen,(keiner) runderen,,
dative,einem runderen,einer runderen,einem runderen,(keinen) runderen,,
accusative,einen runderen,eine rundere,ein runderes,(keine) runderen,,
number & gender,singular,plural,,,,
masculine,feminine,neuter,all genders,,,
predicative,er ist am rundesten,sie ist am rundesten,es ist am rundesten,sie sind am rundesten,,
strong declension (without article),nominative,rundester,rundeste,rundestes,rundeste,
genitive,rundesten,rundester,rundesten,rundester,,
dative,rundestem,rundester,rundestem,rundesten,,
accusative,rundesten,rundeste,rundestes,rundeste,,
weak declension (with definite article),nominative,der rundeste,die rundeste,das rundeste,die rundesten,
genitive,des rundesten,der rundesten,des rundesten,der rundesten,,
dative,dem rundesten,der rundesten,dem rundesten,den rundesten,,
accusative,den rundesten,die rundeste,das rundeste,die rundesten,,
mixed declension (with indefinite article),nominative,ein rundester,eine rundeste,ein rundestes,(keine) rundesten,
genitive,eines rundesten,einer rundesten,eines rundesten,(keiner) rundesten,,
dative,einem rundesten,einer rundesten,einem rundesten,(keinen) rundesten,,
accusative,einen rundesten,eine rundeste,ein rundestes,(keine) rundesten,,
"der Ball ist rund und muss in das Eckige - ""the ball is round and must in the angled"" (about the basic soccer rules: the ball must into the goal)  kreisrund  kugelrund  Rund  Rundbank  Rundbau  Rundbeet  Rundblick  Rundbogen  Rundbrief  Runde  Runderneuerung  rundes r  runde Tisch  Rundfahrt",,Rundflug  Rundfrage  Rundfunk  Rundgang  Rundgesang  Rundholz  Rundhorizont  Rundkurs  Rundlauf  Rundreise  Rundruf,,Rundschau  Rundschlag  Rundschreiben  Rundschrift  Rundsicht  Rundspruch  Rundstrecke  Rundstück  Rundumschlag  Rundung,,Rundwanderweg  Rundweg  rundheraus  rundherum  rundlich  rundum  rundweg  abrunden  aufrunden  überrunden  umrunden
