0,1,2,3,4,5,6
民俗  俗悪  俗縁  俗化  俗歌  俗画  俗解  俗界  俗学  俗楽  俗間  俗眼  俗気  俗議  俗曲  俗形  俗見  俗言  俗諺  俗語  俗才,,俗事  俗字  俗耳  俗趣  俗儒  俗習  俗臭  俗衆  俗書  俗称  俗情  俗信  俗人  俗塵  俗世  俗姓  俗説  俗僧  俗体  俗談  俗調,,俗諦  俗伝  俗念  俗輩  俗筆  俗物  俗文  俗務  俗名  俗用  俗謡  俗吏  俗流  俗累  俗論  俗話  夷俗  雅俗  旧俗  郷俗  還俗,,古俗  在俗  習俗  州俗  世俗  僧俗  脱俗  超俗  通俗  低俗  道俗  土俗  反俗  卑俗  美俗  風俗  米俗  凡俗  俚俗  良俗
Stem forms,,,,,,
Imperfective (未然形),俗だろ,ぞくだろ,zoku daro,,,
Continuative (連用形),俗で,ぞくで,zoku de,,,
Terminal (終止形),俗だ,ぞくだ,zoku da,,,
Attributive (連体形),俗な,ぞくな,zoku na,,,
Hypothetical (仮定形),俗なら,ぞくなら,zoku nara,,,
Imperative (命令形),俗であれ,ぞくであれ,zoku de are,,,
Key constructions,,,,,,
Informal negative,俗ではない俗じゃない,ぞくではないぞくじゃない,zoku de wa naizoku ja nai,,,
Informal past,俗だった,ぞくだった,zoku datta,,,
Informal negative past,俗ではなかった俗じゃなかった,ぞくではなかったぞくじゃなかった,zoku de wa nakattazoku ja nakatta,,,
Formal,俗です,ぞくです,zoku desu,,,
Formal negative,俗ではありません俗じゃありません,ぞくではありませんぞくじゃありません,zoku de wa arimasenzoku ja arimasen,,,
Formal past,俗でした,ぞくでした,zoku deshita,,,
Formal negative past,俗ではありませんでした俗じゃありませんでした,ぞくではありませんでしたぞくじゃありませんでした,zoku de wa arimasen deshitazoku ja arimasen deshita,,,
Conjunctive,俗で,ぞくで,zoku de,,,
Conditional,俗なら（ば）,ぞくなら（ば）,zoku nara (ba),,,
Provisional,俗だったら,ぞくだったら,zoku dattara,,,
Volitional,俗だろう,ぞくだろう,zoku darō,,,
Adverbial,俗に,ぞくに,zoku ni,,,
Degree,俗さ,ぞくさ,zokusa,,,
俗っぽい  俗受け,,俗向き  俗離れ,,,,
