0,1,2,3,4,5,6,7
,simple,compound,,,,,
infinitive,estre,avoir esté,,,,,
gerund,en estant,Use the gerund of avoir followed by the past participle,,,,,
present participle,estant,,,,,,
past participle,esté,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,ie (may be i' before a vowel),tu,il,nous,vous,"ilz, elles",
simpletenses,present,"suis, suys, sui",es,est,sommes,estes,sont
imperfect,"estois, estoys","estois, estoys","estoit, estoyt",estions,estiez,"estoyent, estoient",
past historic,fus,fus,fut,fumes,fustes,furent,
future,seroi,seras,sera,serons,serez,seront,
conditional,"serois, seroys","serois, seroys","seroit, seroyt",serions,seriez,"seroient, seroyent",
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior,Use the past historic tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que ie,que tu,qu'il,que nous,que vous,"qu'ilz, qu'elles",
simpletenses,present,"sois, soys","sois, soys","soit, soyt",soyons,soyez,"soyent, soient"
imperfect,fusse,fusses,fust,fussions,fussiez,fussent,
compoundtenses,past,Use the present subjunctive of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect subjunctive of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nous,vous,–,
—,"sois, soys",—,soyons,soyez,—,,
