0,1,2,3,4
Audio (Classical Attic),,(file),,
Case / #,Singular,Dual,Plural,
Nominative,ὁ θεός,τὼ θεώ,οἱ θεοί,
Genitive,τοῦ θεοῦ,τοῖν θεοῖν,τῶν θεῶν,
Dative,τῷ θεῷ,τοῖν θεοῖν,τοῖς θεοῖς,
Accusative,τὸν θεόν,τὼ θεώ,τοὺς θεούς,
Vocative,θεέ,θεώ,θεοί,
,,,,
Dialectal forms:,,,,
Notes:,"Classical Greek used no vocative singular, while later Greek allowed for both θεός ‎(theós) and θεέ ‎(theé).",,,
ἄθεος ‎(átheos)  ἀθεότης ‎(atheótēs)  ἀντίθεος ‎(antítheos)  ἀποθεόω ‎(apotheóō)  δύσθεος ‎(dústheos)  Δωροθέᾱ ‎(Dōrothéā)  Δωρόθεος ‎(Dōrótheos)  ἐκθεόω ‎(ektheóō)  ἐνθεόομαι ‎(entheóomai)  ἔνθεος ‎(éntheos)  ζάθεος ‎(zátheos)  ἠγάθεος ‎(ēgátheos)  ἡμίθεος ‎(hēmítheos)  θεᾱ́ ‎(theā́)  θεοβλάβειᾰ ‎(theoblábeia)  θεοβλαβέω ‎(theoblabéō)  θεοβλαβής ‎(theoblabḗs)  θεογεννής ‎(theogennḗs)  θεογνωσίᾱ ‎(theognōsíā)  θεογονίᾱ ‎(theogoníā)  θεόγονος ‎(theógonos)  θεοδέγμων ‎(theodégmōn)  θεοδίδᾰκτος ‎(theodídaktos)  θεόδμητος ‎(theódmētos)  θεοδοσίᾱ ‎(theodosíā)  θεόδοτος ‎(theódotos)  Θεόδοτος ‎(Theódotos)  Θεόδουλος ‎(Theódoulos)  Θεόδωρος ‎(Theódōros)  θεοειδής ‎(theoeidḗs),,θεοείκελος ‎(theoeíkelos)  θεοεχθρίᾱ ‎(theoekhthríā)  θεοίνιᾰ ‎(theoínia)  θεοισεχθρίᾱ ‎(theoisekhthríā)  θεοκλυτέω ‎(theoklutéō)  θεοκλύτησις ‎(theoklútēsis)  θεόκλυτος ‎(theóklutos)  θεόκρᾰντος ‎(theókrantos)  θεοκρᾰτίᾱ ‎(theokratíā)  θεόκριτος ‎(theókritos)  θεόκτιτος ‎(theóktitos)  θεόληπτος ‎(theólēptos)  θεολογέω ‎(theologéō)  θεολόγιᾰ ‎(theológia)  θεολογικός ‎(theologikós)  θεόλογος ‎(theólogos)  θεομᾰνέω ‎(theomanéō)  θεομᾰνής ‎(theomanḗs)  θεόμᾰντις ‎(theómantis)  θεομᾰχέω ‎(theomakhéō)  θεομᾰχίᾱ ‎(theomakhíā)  θεόμᾰχος ‎(theómakhos)  θεομήστωρ ‎(theomḗstōr)  θεομῑσής ‎(theomīsḗs)  θεόμορος ‎(theómoros)  θεόπεμπτος ‎(theópemptos)  θεόπνευστος ‎(theópneustos)  θεοποιέω ‎(theopoiéō)  Θεόπομπος ‎(Theópompos)  θεοπρεπής ‎(theoprepḗs),,θεοπροπέω ‎(theopropéō)  θεοπροπίᾱ ‎(theopropíā)  θεοπρόπιον ‎(theoprópion)  θεοπρόπος ‎(theoprópos)  θεοσέβειᾰ ‎(theosébeia)  θεοσεβέω ‎(theosebéō)  θεοσεβής ‎(theosebḗs)  θεοστυγής ‎(theostugḗs)  θεότης ‎(theótēs)  θεουδής ‎(theoudḗs)  θεοφάνειᾰ ‎(theopháneia)  θεοφάνιᾰ ‎(theophánia)  θεόφᾰντος ‎(theóphantos)  θεοφιλής ‎(theophilḗs)  Θεόφιλος ‎(Theóphilos)  θεοφορέω ‎(theophoréō)  θεοφόρησις ‎(theophórēsis)  θεοφόρητος ‎(theophórētos)  θεοφορίᾱ ‎(theophoríā)  θεόφορος ‎(theóphoros)  Θεόφρᾰστος ‎(Theóphrastos)  θεόφρων ‎(theóphrōn)  θεόω ‎(theóō)  Ἱερόθεος ‎(Hierótheos)  ἰσόθεος ‎(isótheos)  ἰσοθεόω ‎(isotheóō)  κατάθεος ‎(katátheos)  μῑσόθεος ‎(mīsótheos)  Φιλόθεος ‎(Philótheos)
"Greek: θείον ‎(theíon), θεός ‎(theós), θείο ‎(theío), θεϊσμός ‎(theïsmós)",,"English: theism, atheism, neurotheology",,
