0,1,2,3
Case / #,Singular,Dual,Plural
Nominative,"ὁ, ἡ ᾰ̓μῡ́μων",τὼ ᾰ̓μῡ́μονε,"οἱ, αἱ ᾰ̓μῡ́μονες"
Genitive,"τοῦ, τῆς ᾰ̓μῡ́μονος",τοῖν ᾰ̓μῡμόνοιν,τῶν ᾰ̓μῡμόνων
Dative,"τῷ, τῇ ᾰ̓μῡ́μονῐ",τοῖν ᾰ̓μῡμόνοιν,"τοῖς, ταῖς ᾰ̓μῡ́μοσῐ"
Accusative,"τὸν, τὴν ᾰ̓μῡ́μονᾰ",τὼ ᾰ̓μῡ́μονε,"τοὺς, τᾱ̀ς ᾰ̓μῡ́μονᾰς"
Vocative,ᾰ̓μῦμον,ᾰ̓μῡ́μονε,ᾰ̓μῡ́μονες
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,
Case / #,Singular,Dual,Plural
Nominative,τὸ ᾰ̓́μῡμον,τὼ ᾰ̓μῡ́μονε,τᾰ̀ ᾰ̓μῡ́μονᾰ
Genitive,τοῦ ᾰ̓μῡ́μονος,τοῖν ᾰ̓μῡμόνοιν,τῶν ᾰ̓μῡμόνων
Dative,τῷ ᾰ̓μῡ́μονῐ,τοῖν ᾰ̓μῡμόνοιν,τοῖς ᾰ̓μῡ́μοσῐ
Accusative,τὸ ᾰ̓́μῡμον,τὼ ᾰ̓μῡ́μονε,τᾰ̀ ᾰ̓μῡ́μονᾰ
Vocative,ᾰ̓́μῡμον,ᾰ̓μῡ́μονε,ᾰ̓μῡ́μονᾰ
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,
