0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,Ῥωμαῖος,Ῥωμαίᾱ,Ῥωμαῖον,,Ῥωμαίω,Ῥωμαίᾱ,Ῥωμαίω,,Ῥωμαῖοι,Ῥωμαῖαι,Ῥωμαῖᾰ
Genitive,Ῥωμαίου,Ῥωμαίᾱς,Ῥωμαίου,,Ῥωμαίοιν,Ῥωμαίαιν,Ῥωμαίοιν,,Ῥωμαίων,Ῥωμαίων,Ῥωμαίων
Dative,Ῥωμαίῳ,Ῥωμαίᾳ,Ῥωμαίῳ,,Ῥωμαίοιν,Ῥωμαίαιν,Ῥωμαίοιν,,Ῥωμαίοις,Ῥωμαίαις,Ῥωμαίοις
Accusative,Ῥωμαῖον,Ῥωμαίᾱν,Ῥωμαῖον,,Ῥωμαίω,Ῥωμαίᾱ,Ῥωμαίω,,Ῥωμαίους,Ῥωμαίᾱς,Ῥωμαῖᾰ
Vocative,Ῥωμαῖε,Ῥωμαίᾱ,Ῥωμαῖον,,Ῥωμαίω,Ῥωμαίᾱ,Ῥωμαίω,,Ῥωμαῖοι,Ῥωμαῖαι,Ῥωμαῖᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
Ῥωμαίως,,Ῥωμαιότερος,,Ῥωμαιότᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Case / #,Singular,Dual,Plural,,,,,,,,
Nominative,ὁ Ῥωμαῖος,τὼ Ῥωμαίω,οἱ Ῥωμαῖοι,,,,,,,,
Genitive,τοῦ Ῥωμαίου,τοῖν Ῥωμαίοιν,τῶν Ῥωμαίων,,,,,,,,
Dative,τῷ Ῥωμαίῳ,τοῖν Ῥωμαίοιν,τοῖς Ῥωμαίοις,,,,,,,,
Accusative,τὸν Ῥωμαῖον,τὼ Ῥωμαίω,τοὺς Ῥωμαίους,,,,,,,,
Vocative,Ῥωμαῖε,Ῥωμαίω,Ῥωμαῖοι,,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
