0,1,2,3,4,5,6,7
PIE root,,,,,,,
*bʰewdʰ-,,,,,,,
participles,present active participle,past active aorist participle,past active imperfect participle,past passive participle,verbal noun,adverbial participle,
masculine,indefinite,събуждащ,събуждал,събуждал,събуждан,,събуждайки
definite subject form,събуждащият,събуждалият,—,събужданият,,,
definite object form,събуждащия,събуждалия,—,събуждания,,,
feminine,indefinite,събуждаща,събуждала,събуждала,събуждана,,
definite,събуждащата,събуждалата,—,събужданата,,,
neuter,indefinite,събуждащо,събуждало,събуждало,събуждано,събуждане,
definite,събуждащото,събуждалото,—,събужданото,събуждането,,
plural,indefinite,събуждащи,събуждали,събуждали,събуждани,събуждания-нета,
definite,събуждащите,събуждалите,—,събужданите,събужданията-нетата,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,аз,ти,той/тя/то,ние,вие,те,
present,събуждам,събуждаш,събужда,събуждаме,събуждате,събуждат,
imperfect,събуждах,събуждаше,събуждаше,събуждахме,събуждахте,събуждаха,
aorist,събуждах,събужда,събужда,събуждахме,събуждахте,събуждаха,
future,pos.,Use ще followed by the present indicative tense,,,,,
neg.,Use няма да followed by the present indicative tense,,,,,,
future in the past,pos.,Use the imperfect indicative tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямаше да followed by the present indicative tense,,,,,,
present perfect,"Use the present indicative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
past perfect,"Use the impefect indicative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future perfect,"Use the future indicative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future perfect in the past,"Use the future in the past indicative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
renarrative,аз,ти,той/тя/то,ние,вие,те,
present and imperfect,"Use the present indicative tense of съм (leave it out in third person) and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
aorist,"Use the present indicative tense of съм (leave it out in third person) and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future and future in the past,pos.,Use the present/imperfect renarrative tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямало да and the present indicative tense,,,,,,
present and past perfect,"Use the present/imperfect renarrative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future perfect and future perfect in the past,"Use the future/future in the past renarrative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
dubitative,аз,ти,той/тя/то,ние,вие,те,
present and mperfect,"Use the present/imperfect renarrative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
aorist,"Use the aorist renarrative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future and future in the past,pos.,Use the present/imperfect dubitative tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямало било да and the present indicative tense,,,,,,
present and past perfect,none,,,,,,
future perfect and future perfect in the past,"Use the future/future in the past dubitative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
conclusive,аз,ти,той/тя/то,ние,вие,те,
present and imperfect,"Use the present indicative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
aorist,"Use the present indicative tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future and future in the past,pos.,Use the present/imperfect conclusive tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямало е да and the present indicative tense,,,,,,
present and past perfect,"Use the present/imperfect conclusive tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
future perfect and future perfect in the past,"Use the future/future in the past conclusive tense of съм and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,
conditional,аз,ти,той/тя/то,ние,вие,те,
"Use the first aorist indicative tense of бъда and събуждал m, събуждала f, събуждало n, or събуждали pl",,,,,,,
imperative,-,ти,-,-,вие,-,
,събуждай,,,събуждайте,,,
