0,1
,singular (singulare tantum)
nominative,N;NOM;SG
dative,N;DAT;SG
ablative,N;ABL;SG
instrumental,N;INST;SG
locative,N;LOC;SG
,definite forms
nominative,N;NOM;SG;DEF
dative,N;DAT;SG;DEF
,1st person possessive forms (my)
nominative,N;NOM;SG;PSS1S
dative,N;DAT;SG;PSS1S
ablative,N;ABL;SG;PSS1S
instrumental,N;INST;SG;PSS1S
locative,N;LOC;SG;PSS1S
,2nd person possessive forms (your)
nominative,N;NOM;SG;PSS2S
dative,N;DAT;SG;PSS2S
ablative,N;ABL;SG;PSS2S
instrumental,N;INST;SG;PSS2S
locative,N;LOC;SG;PSS2S
