0,1,2
infinitive,fœða,
present participle,fœðandi,
past participle,fœddr,
indicative,present,past
1st-person singular,fœði,fœdda
2nd-person singular,fœðir,fœddir
3rd-person singular,fœðir,fœddi
1st-person plural,fœðum,fœddum
2nd-person plural,fœðið,fœdduð
3rd-person plural,fœða,fœddu
subjunctive,present,past
1st-person singular,fœða,fœdda
2nd-person singular,fœðir,fœddir
3rd-person singular,fœði,fœddi
1st-person plural,fœðim,fœddim
2nd-person plural,fœðið,fœddið
3rd-person plural,fœði,fœddi
imperative,present,
2nd-person singular,fœð,
1st-person plural,fœðum,
2nd-person plural,fœðið,
infinitive,fœðask,
present participle,fœðandisk,
past participle,fœðzk,
indicative,present,past
1st-person singular,fœðumk,fœddumk
2nd-person singular,fœðisk,fœddisk
3rd-person singular,fœðisk,fœddisk
1st-person plural,fœðumsk,fœddumsk
2nd-person plural,fœðizk,fœdduzk
3rd-person plural,fœðask,fœddusk
subjunctive,present,past
1st-person singular,fœðumk,fœddumk
2nd-person singular,fœðisk,fœddisk
3rd-person singular,fœðisk,fœddisk
1st-person plural,fœðimsk,fœddimsk
2nd-person plural,fœðizk,fœddizk
3rd-person plural,fœðisk,fœddisk
imperative,present,
2nd-person singular,fœðsk,
1st-person plural,fœðumsk,
2nd-person plural,fœðizk,
Danish: føde  Faroese: føða  Icelandic: fæða,,Norwegian: føde  Swedish: föda
feminine,singular,
indefinite,definite,
nominative,fœða,fœðan
accusative,fœðu,fœðuna
dative,fœðu,fœðunni
genitive,fœðu,fœðunnar
Danish: føde c  Faroese: føði f,,Icelandic: fæða f  Swedish: föda c
