0,1,2
Audio,,(file)
Inflection of glazen,,
uninflected,glazen,
inflected,glazen,
comparative,—,
,positive,
predicative/adverbial,—,
indefinite,m./f. sing.,glazen
n. sing.,glazen,
plural,glazen,
definite,glazen,
partitive,—,
Inflection of glazen (weak),,
infinitive,glazen,
past singular,glaasde,
past participle,geglaasd,
infinitive,glazen,
gerund,glazen n,
verbal noun,—,
,present tense,past tense
1st person singular,glaas,glaasde
2nd person sing. (jij),glaast,glaasde
2nd person sing. (u),glaast,glaasde
2nd person sing. (gij),glaast,glaasde
3rd person singular,glaast,glaasde
plural,glazen,glaasden
,,
subjunctive sing.1,glaze,glaasde
subjunctive plur.1,glazen,glaasden
,,
imperative sing.,glaas,
imperative plur.1,glaast,
,,
participles,glazend,geglaasd
1) Archaic.,,
