0,1,2,3,4,5,6,7,8
participles,present active participle,past active aorist participle,past active imperfect participle,past passive participle,verbal noun,adverbial participle,,
masculine,indefinite,—,бил,бил,—,,бъдейки/бидейки,
definite subject form,—,билият,—,—,,,,
definite object form,—,билия,—,—,,,,
feminine,indefinite,—,била,била,—,,,
definite,—,билата,—,—,,,,
neuter,indefinite,—,било,било,—,—,,
definite,—,билото,—,—,—,,,
plural,indefinite,—,били,били,—,—,,
definite,—,билите,—,—,—,,,
person,singular,plural,,,,,,
first,second,third,first,second,third,,,
indicative,аз,ти,той/тя/то,ние,вие,те,,
present,съм,си,е,сме,сте,са,,
imperfect,бях,беше (бе),беше (бе),бяхме,бяхте,бяха,,
aorist,бях,беше (бе),беше (бе),бяхме,бяхте,бяха,,
future,pos.,ще съм,ще си,ще е,ще сме,ще сте,ще са,
neg.,няма да съм,няма да си,няма да е,няма да сме,няма да сте,няма да са,,
future in the past,pos.,щях да съм,щеше да си,щеше да е,щяха да сме,щяхме да сте,щяхте да са,
neg.,нямаше да съм,нямаше да си,нямаше да е,нямаше да сме,нямаше да сте,нямаше да са,,
present perfect,masc.,бил съм,бил си,бил е,били сме,били сте,били са,
fem.,била съм,била си,била е,,,,,
neut.,било съм,било си,било е,,,,,
past perfect,masc.,бях бил,бе(ше) бил,бе(ше) бил,бяхме били,бяхте били,бяха били,
fem.,бях била,бе(ше) била,бе(ше) била,,,,,
neut.,бях било,бе(ше) било,бе(ше) било,,,,,
future perfect,pos.,masc.,ще съм бил,ще си бил,ще е бил,ще сме били,ще сте били,ще са били
fem.,ще съм била,ще си била,ще е била,,,,,
neut.,ще съм било,ще си било,ще е било,,,,,
neg.,masc.,няма да съм бил,няма да си бил,няма да е бил,няма да сме били,няма да сте били,няма да са били,
fem.,няма да съм била,няма да си била,няма да е била,,,,,
neut.,няма да съм било,няма да си било,няма да е било,,,,,
future perfect in the past,pos.,masc.,щях да съм бил,щеше да си бил,щеше да е бил,щяхме да сме били,щяхте да сте били,щяха да са били
fem.,щях да съм била,щеше да си била,щеше да е била,,,,,
neut.,щях да съм било,щеше да си било,щеше да е било,,,,,
neg.,masc.,нямаше да съм бил,нямаше да си бил,нямаше да е бил,нямаше да сме били,нямаше да сте били,нямаше да са били,
fem.,нямаше да съм била,нямаше да си била,нямаше да е била,,,,,
