0,1,2,3,4,5
,present,past,,,
infinitive,fylgha,—,,,
participle,"fylghandi, -e",fulghþer,,,
active voice,indicative,subjunctive,imperative,indicative,subjunctive
iæk,fylghir,"fylghi, -e",—,"fulghþi, -e","fulghþi, -e"
þū,fylghir,"fylghi, -e",fylgh,"fulghþi, -e","fulghþi, -e"
han,fylghir,"fylghi, -e",—,"fulghþi, -e","fulghþi, -e"
vīr,"fylghum, -om","fylghum, -om","fylghum, -om","fulghþum, -om","fulghþum, -om"
īr,fylghin,fylghin,fylghin,fulghþin,fulghþin
þēr,fylgha,fylghin,—,"fulghþu, -om",fulghþin
mediopassive voice,indicative,subjunctive,imperative,indicative,subjunctive
iæk,fylghis,"fylghis, -es",—,"fulghþis, -es","fulghþis, -es"
þū,fylghis,"fylghis, -es",—,"fulghþis, -es","fulghþis, -es"
han,fylghis,"fylghis, -es",—,"fulghþis, -es","fulghþis, -es"
vīr,"fylghums, -oms","fylghums, -oms",—,"fulghþums, -oms","fulghþums, -oms"
īr,fylghins,fylghins,—,fulghþins,fulghþins
þēr,fylghas,fylghins,—,"fulghþus, -os",fulghþins
,present,past,,,
infinitive,fylgha,—,,,
participle,"fylghandi, -e",fylghþer,,,
active voice,indicative,subjunctive,imperative,indicative,subjunctive
iæk,fylghir,"fylghi, -e",—,"fylghþi, -e","fylghþi, -e"
þū,fylghir,"fylghi, -e",fylgh,"fylghþi, -e","fylghþi, -e"
han,fylghir,"fylghi, -e",—,"fylghþi, -e","fylghþi, -e"
vīr,"fylghum, -om","fylghum, -om","fylghum, -om","fylghþum, -om","fylghþum, -om"
īr,fylghin,fylghin,fylghin,fylghþin,fylghþin
þēr,fylgha,fylghin,—,"fylghþu, -om",fylghþin
mediopassive voice,indicative,subjunctive,imperative,indicative,subjunctive
iæk,fylghis,"fylghis, -es",—,"fylghþis, -es","fylghþis, -es"
þū,fylghis,"fylghis, -es",—,"fylghþis, -es","fylghþis, -es"
han,fylghis,"fylghis, -es",—,"fylghþis, -es","fylghþis, -es"
vīr,"fylghums, -oms","fylghums, -oms",—,"fylghþums, -oms","fylghþums, -oms"
īr,fylghins,fylghins,—,fylghþins,fylghþins
þēr,fylghas,fylghins,—,"fylghþus, -os",fylghþins
