0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
infinitive,שפּריצןshpritsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present participle,שפּריצנדיקshpritsndik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,געשפּריצטgeshpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary,האָבןhobn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present,איך שפּריץikh shprits,מיר שפּריצןmir shpritsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו שפּריצסטdu shpritsst,איר שפּריצטir shpritst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער שפּריצטer shpritst,זיי שפּריצןzey shpritsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperative,שפּריץ (דו)shprits (du),שפּריצט (איר)shpritst (ir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
