0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Declension of franchise (irregular)  singular  plural  nominative  franchise  franchiset  genitive  franchisen  franchisien  partitive  franchisea  franchiseja  accusative  franchisefranchisen  franchiset  inessive  franchisessa  franchiseissa  elative  franchisesta  franchiseista  illative  franchiseen  franchiseihin  adessive  franchisella  franchiseilla  ablative  franchiselta  franchiseilta  allative  franchiselle  franchiseille  essive  franchisena  franchiseina  translative  franchiseksi  franchiseiksi  instructive  –  franchisein  abessive  franchisetta  franchiseitta  comitative  –  franchiseineen,,singular,plural,nominative,franchise,franchiset,genitive,franchisen,franchisien,partitive,franchisea,franchiseja,accusative,franchisefranchisen,franchiset,inessive,franchisessa,franchiseissa,elative,franchisesta,franchiseista,illative,franchiseen,franchiseihin,adessive,franchisella,franchiseilla,ablative,franchiselta,franchiseilta,allative,franchiselle,franchiseille,essive,franchisena,franchiseina,translative,franchiseksi,franchiseiksi,instructive,–,franchisein,abessive,franchisetta,franchiseitta,comitative,–,franchiseineen
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,franchise,franchiset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,franchisen,franchisien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,franchisea,franchiseja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,franchisefranchisen,franchiset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,franchisessa,franchiseissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,franchisesta,franchiseista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,franchiseen,franchiseihin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,franchisella,franchiseilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,franchiselta,franchiseilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,franchiselle,franchiseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,franchisena,franchiseina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,franchiseksi,franchiseiksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,franchisein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
