0,1,2,3,4,5
"Inflection of äksyillä (Kotus type 67/tulla, no gradation)",,,,,
indicative mood,,,,,
present tense,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,äksyilen,en äksyile,1st sing.,olen äksyillyt,en ole äksyillyt
2nd sing.,äksyilet,et äksyile,2nd sing.,olet äksyillyt,et ole äksyillyt
3rd sing.,äksyilee,ei äksyile,3rd sing.,on äksyillyt,ei ole äksyillyt
1st plur.,äksyilemme,emme äksyile,1st plur.,olemme äksyilleet,emme ole äksyilleet
2nd plur.,äksyilette,ette äksyile,2nd plur.,olette äksyilleet,ette ole äksyilleet
3rd plur.,äksyilevät,eivät äksyile,3rd plur.,ovat äksyilleet,eivät ole äksyilleet
passive,äksyillään,ei äksyillä,passive,on äksyilty,ei ole äksyilty
past tense,pluperfect,,,,
person,positive,negative,person,positive,negative
1st sing.,äksyilin,en äksyillyt,1st sing.,olin äksyillyt,en ollut äksyillyt
2nd sing.,äksyilit,et äksyillyt,2nd sing.,olit äksyillyt,et ollut äksyillyt
3rd sing.,äksyili,ei äksyillyt,3rd sing.,oli äksyillyt,ei ollut äksyillyt
1st plur.,äksyilimme,emme äksyilleet,1st plur.,olimme äksyilleet,emme olleet äksyilleet
2nd plur.,äksyilitte,ette äksyilleet,2nd plur.,olitte äksyilleet,ette olleet äksyilleet
3rd plur.,äksyilivät,eivät äksyilleet,3rd plur.,olivat äksyilleet,eivät olleet äksyilleet
passive,äksyiltiin,ei äksyilty,passive,oli äksyilty,ei ollut äksyilty
conditional mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,äksyilisin,en äksyilisi,1st sing.,olisin äksyillyt,en olisi äksyillyt
2nd sing.,äksyilisit,et äksyilisi,2nd sing.,olisit äksyillyt,et olisi äksyillyt
3rd sing.,äksyilisi,ei äksyilisi,3rd sing.,olisi äksyillyt,ei olisi äksyillyt
1st plur.,äksyilisimme,emme äksyilisi,1st plur.,olisimme äksyilleet,emme olisi äksyilleet
2nd plur.,äksyilisitte,ette äksyilisi,2nd plur.,olisitte äksyilleet,ette olisi äksyilleet
3rd plur.,äksyilisivät,eivät äksyilisi,3rd plur.,olisivat äksyilleet,eivät olisi äksyilleet
passive,äksyiltäisiin,ei äksyiltäisi,passive,olisi äksyilty,ei olisi äksyilty
imperative mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,—,—,1st sing.,—,—
2nd sing.,äksyile,älä äksyile,2nd sing.,ole äksyillyt,älä ole äksyillyt
3rd sing.,äksyilköön,älköön äksyilkö,3rd sing.,olkoon äksyillyt,älköön olko äksyillyt
1st plur.,äksyilkäämme,älkäämme äksyilkö,1st plur.,olkaamme äksyilleet,älkäämme olko äksyilleet
2nd plur.,äksyilkää,älkää äksyilkö,2nd plur.,olkaa äksyilleet,älkää olko äksyilleet
3rd plur.,äksyilkööt,älkööt äksyilkö,3rd plur.,olkoot äksyilleet,älkööt olko äksyilleet
passive,äksyiltäköön,älköön äksyiltäkö,passive,olkoon äksyilty,älköön olko äksyilty
potential mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,äksyillen,en äksyille,1st sing.,lienen äksyillyt,en liene äksyillyt
2nd sing.,äksyillet,et äksyille,2nd sing.,lienet äksyillyt,et liene äksyillyt
3rd sing.,äksyillee,ei äksyille,3rd sing.,lienee äksyillyt,ei liene äksyillyt
1st plur.,äksyillemme,emme äksyille,1st plur.,lienemme äksyilleet,emme liene äksyilleet
2nd plur.,äksyillette,ette äksyille,2nd plur.,lienette äksyilleet,ette liene äksyilleet
3rd plur.,äksyillevät,eivät äksyille,3rd plur.,lienevät äksyilleet,eivät liene äksyilleet
passive,äksyiltäneen,ei äksyiltäne,passive,lienee äksyilty,ei liene äksyilty
Nominal forms,,,,,
infinitives,participles,,,,
,active,passive,,active,passive
1st,äksyillä,present,äksyilevä,äksyiltävä,
long 1st2,äksyilläkseen,past,äksyillyt,äksyilty,
2nd,inessive1,äksyillessä,äksyiltäessä,"agent1, 3",äksyilemä
instructive,äksyillen,—,negative,äksyilemätön,
3rd,inessive,äksyilemässä,—,1) Usually with a possessive suffix. 2) Used only with a possessive suffix; this is the form for the third-person singular and third-person plural. 3) Does not exist in the case of intransitive verbs. Do not confuse with nouns formed with the -ma suffix.,
elative,äksyilemästä,—,,,
illative,äksyilemään,—,,,
adessive,äksyilemällä,—,,,
abessive,äksyilemättä,—,,,
instructive,äksyilemän,äksyiltämän,,,
4th,nominative,äksyileminen,,,
partitive,äksyilemistä,,,,
5th2,äksyilemäisillään,,,,
