0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Audio,,(file),,,,,,,,,,,,
imperfective aspect,,,,,,,,,,,,,,
infinitive,учи́тьсяučítʹsja,,,,,,,,,,,,,
participles,present tense,past tense,,,,,,,,,,,,
active,уча́щийсяučáščijsja,учи́вшийсяučívšijsja,,,,,,,,,,,,
passive,—,—,,,,,,,,,,,,
adverbial,уча́сьučásʹ,учи́вшисьučívšisʹ,,,,,,,,,,,,
,present tense,future tense,,,,,,,,,,,,
1st singular (я),учу́сьučúsʹ,бу́ду учи́тьсяbúdu učítʹsja,,,,,,,,,,,,
2nd singular (ты),у́чишьсяúčišʹsja,бу́дешь учи́тьсяbúdešʹ učítʹsja,,,,,,,,,,,,
3rd singular (он/она́/оно́),у́читсяúčitsja,бу́дет учи́тьсяbúdet učítʹsja,,,,,,,,,,,,
1st plural (мы),у́чимсяúčimsja,бу́дем учи́тьсяbúdem učítʹsja,,,,,,,,,,,,
2nd plural (вы),у́читесьúčitesʹ,бу́дете учи́тьсяbúdete učítʹsja,,,,,,,,,,,,
3rd plural (они́),у́чатсяúčatsja,бу́дут учи́тьсяbúdut učítʹsja,,,,,,,,,,,,
imperative,singular,plural,,,,,,,,,,,,
,учи́сьučísʹ,учи́тесьučítesʹ,,,,,,,,,,,,
past tense,singular,plural(мы/вы/они́),,,,,,,,,,,,
masculine (я/ты/он),учи́лсяučílsja,учи́лисьučílisʹ,,,,,,,,,,,,
feminine (я/ты/она́),учи́ласьučílasʹ,,,,,,,,,,,,,
neuter (оно́),учи́лосьučílosʹ,,,,,,,,,,,,,
"вы́учиться ‎(výučitʹsja) — to finish studying  доучи́ться ‎(doučítʹsja) — to finish studying  заучи́ться ‎(zaučítʹsja) — to study too hard, to get tired of studying  изучи́ться ‎(izučítʹsja) — to be learned  научи́ться ‎(naučítʹsja) — to learn  недоучи́ться ‎(nedoučítʹsja) — to leave studying unfinished  обучи́ться ‎(obučítʹsja) — to be taught, to get new knowledge",,"отучи́ться ‎(otučítʹsja) — to break the habit (of); to finish learning  переучи́ться ‎(pereučítʹsja) — to re-learn  поучи́ться ‎(poučítʹsja) — to learn a little  подучи́ться ‎(podučítʹsja) — to learn a little more  приучи́ться ‎(priučítʹsja) — to get used to, to be accustomed to  проучи́ться ‎(proučítʹsja) — to study for some time (at)  разучи́ться ‎(razučítʹsja) — to forget how to do something, to unlearn",,,,,,,,,,,,
complete government (order is not obligatory and may be changed freely),,,,,,,,,,,,,,
nominative,,verb(in req. form),,genitive,,dative,,accusative(transitive),,accusative(intransitive),,instrumental,,prepositional
кто-л./что-л.,+,учиться,+,preposition + кого-л./чего-л.,+,кому-л./чему-л.,+,not used,+,preposition + кого-л./что-л.,+,preposition + кем-л./чем-л.,+,preposition + ком-л./чём-л.
case,government,in English,,,,,,,,,,,,
nominative,"кто-л./что-л. + учиться (in required form, not the infinitive)","somebody/something + to learn (or other translation, in corresponding form)",,,,,,,,,,,,
он у́чится,he learns (or he is learning),,,,,,,,,,,,,
genitive,учиться + preposition + кого-л./чего-л.,to learn + prepositon + somebody/something,,,,,,,,,,,,
(он) учится у (своего) отца,(he) learns from (his) father,,,,,,,,,,,,,
(он) учится для/ради (своей) ма́тери,(he) learns for (his) mother,,,,,,,,,,,,,
dative,учиться + optional preposition + кому-л./чему-л.,to learn + somebody/something,,,,,,,,,,,,
(он) учится английскому (языку),(he) learns English (language),,,,,,,,,,,,,
(он) учится по книгам,(he) learns using books,,,,,,,,,,,,,
accusative(transitive),not used,,,,,,,,,,,,,
accusative(intransitive),учиться + preposition + кого-л./что-л.,to learn + preposition (?) + somebody/something,,,,,,,,,,,,
(он) учится на юри́ста,(he) learns to be a lawyer,,,,,,,,,,,,,
(он) учится за деньги,(he) learns for money(he pays money for his learning),,,,,,,,,,,,,
instrumental,учиться + preposition + кем-л./чем-л.,to learn + preposition (?) + somebody/something,,,,,,,,,,,,
(он) учится с трудо́м,(he) learns with difficulty,,,,,,,,,,,,,
(он) учится со мно́й,(he) learns with me,,,,,,,,,,,,,
(предмет) учится студентом,(subject) is learned by a student,,,,,,,,,,,,,
prepositional,учиться + preposition + ком-л./чём-л.,to learn + preposition (?) + somebody/something,,,,,,,,,,,,
(он) учится на приме́рах,(he) learns by praxis,,,,,,,,,,,,,
