0,1,2,3,4,5,6
infinitive,ester,,,,,
auxiliary verb,,gerund,sian,,,
past participle,sté,,,,,
person,singular,plural,,,,
first,second,third,first,second,third,
indicative,ie,tu,el/ela,nos,vos,ei/eles
present,son,ies,é,son,seis,é
imperfect,fove,foves,fova,fovan,fovais,fova
future,saré,saras,sarà,saron,sareis,sarà
subjunctive,che ie,che tu,che el/che ela,che nos,che vos,che ee/che eles
present,sie,sies,sie,son,seis,sie
imperfect,fosse,fosses,fossa,fossan,fossais,fossa
imperative,-,tu,,nos,vos,
,sies,,,sede,,
