0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural form of this noun) Case Singular  Nominative  flann  Vocative  a fhlann  Genitive  flainne  Dative  flann,Case,Singular,Nominative,flann,Vocative,a fhlann,Genitive,flainne,Dative,flann,Forms with the definite article Case Singular  Nominative  an fhlann  Genitive  na flainne  Dative  leis an bhflann don fhlann,Case,Singular,Nominative,an fhlann,Genitive,na flainne,Dative,leis an bhflann don fhlann
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,N;NOM;SG,,,,,,,,,,,,,,,,,,
Vocative,N;VOC;SG,,,,,,,,,,,,,,,,,,
Genitive,N;GEN;SG,,,,,,,,,,,,,,,,,,
Dative,N;DAT;SG,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,N;NOM;SG;DEF,,,,,,,,,,,,,,,,,,
Genitive,N;GEN;SG;DEF,,,,,,,,,,,,,,,,,,
Dative,N;DAT;SG;DEF,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,flann,,,,,,,,,,,,,,,,,,
Vocative,a fhlann,,,,,,,,,,,,,,,,,,
Genitive,flainne,,,,,,,,,,,,,,,,,,
Dative,flann,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhlann,,,,,,,,,,,,,,,,,,
Genitive,na flainne,,,,,,,,,,,,,,,,,,
Dative,leis an bhflann don fhlann,,,,,,,,,,,,,,,,,,
