0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,
Nominative,deimhin,dheimhin,deimhne;dheimhne²,,,,,,,,,,,,,,,,
Vocative,dheimhin,deimhne,,,,,,,,,,,,,,,,,
Genitive,deimhne,deimhne,deimhin,,,,,,,,,,,,,,,,
Dative,deimhin;dheimhin¹,dheimhin,deimhne;dheimhne²,,,,,,,,,,,,,,,,
Comparative,níos deimhne,,,,,,,,,,,,,,,,,,
Superlative,is deimhne,,,,,,,,,,,,,,,,,,
Bare forms (no plural form of this noun) Case Singular  Nominative  deimhin  Vocative  a dheimhin  Genitive  deimhne  Dative  deimhin,Case,Singular,Nominative,deimhin,Vocative,a dheimhin,Genitive,deimhne,Dative,deimhin,Forms with the definite article Case Singular  Nominative  an deimhin  Genitive  na deimhne  Dative  leis an deimhin don deimhin,Case,Singular,Nominative,an deimhin,Genitive,na deimhne,Dative,leis an deimhin don deimhin
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,deimhin,,,,,,,,,,,,,,,,,,
Vocative,a dheimhin,,,,,,,,,,,,,,,,,,
Genitive,deimhne,,,,,,,,,,,,,,,,,,
Dative,deimhin,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an deimhin,,,,,,,,,,,,,,,,,,
Genitive,na deimhne,,,,,,,,,,,,,,,,,,
Dative,leis an deimhin don deimhin,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,deimhin,,,,,,,,,,,,,,,,,,
Vocative,a dheimhin,,,,,,,,,,,,,,,,,,
Genitive,deimhne,,,,,,,,,,,,,,,,,,
Dative,deimhin,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an deimhin,,,,,,,,,,,,,,,,,,
Genitive,na deimhne,,,,,,,,,,,,,,,,,,
Dative,leis an deimhin don deimhin,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
deimhin,dheimhin,ndeimhin,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
