0,1,2,3
Masculine o-stem,,,
Case,Singular,Dual,Plural
Nominative,toísech,toísechL,toísigL
Vocative,toísig,toísechL,toísecha
Accusative,toísechN,toísechL,
Genitive,toísigL,toísech,toísechN
Dative,toísechL,toísechaib,
Forms marked L trigger lenition of a following adjective; forms marked N trigger nasalization.,,,
Old Irish mutation,,,
Radical,Lenition,Nasalization,
toísech,thoísech,toísechpronounced with /d(ʲ)-/,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,
